# Mass             Age              Teff             Luminosity       Radius           Gravity          MIRI-F1065C      MIRI-F1140C      MIRI-F1550C      MIRI-F2300C     
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.03600000       1.00000000E-03   2843.73971962    -1.86521130      0.48199134       3.62864096       5.73711589       5.73444156       5.68899899       5.61764696      
  0.03600000       1.26638017E-03   2841.14569553    -1.91432393      0.45632167       3.67617541       5.85789335       5.85536713       5.81073475       5.73984156      
  0.03600000       1.60371874E-03   2839.63986606    -1.94269722      0.44213196       3.70361323       5.92765674       5.92522376       5.88109053       5.81047597      
  0.03600000       2.03091762E-03   2838.86986639    -1.95634956      0.43546644       3.71680788       5.96123755       5.95885133       5.91496697       5.84449002      
  0.03600000       2.57191381E-03   2838.37693012    -1.96611774      0.43075718       3.72625230       5.98525123       5.98289933       5.93919511       5.86881810      
  0.03600000       3.25702066E-03   2837.61909226    -1.97904616      0.42460819       3.73874036       6.01706094       6.01475532       5.97129548       5.90105254      
  0.03600000       4.12462638E-03   2836.45032861    -1.99997211      0.41485565       3.75892309       6.06845735       6.06622899       6.02317263       5.95315087      
  0.03600000       5.22334507E-03   2833.91637125    -2.04054730      0.39661633       3.79797594       6.16809052       6.16602015       6.12378552       6.05420861      
  0.03600000       6.61474064E-03   2826.01721126    -2.14818501      0.35235509       3.90075570       6.43127921       6.42968541       6.38988960       6.32160110      
  0.03600000       8.37677640E-03   2807.82518524    -2.30581692      0.29769173       4.04718402       6.81090777       6.81019008       6.77495622       6.70897017      
  0.03600000       1.06081836E-02   2775.36132097    -2.44239514      0.26036759       4.16354595       7.12359665       7.12390621       7.09433569       7.03098626      
  0.03600000       1.34339933E-02   2750.05223619    -2.55545833      0.23281427       4.26069987       7.38509959       7.38646709       7.36246352       7.30168622      
  0.03600000       1.70125428E-02   2710.27896411    -2.66731315      0.21073955       4.34722725       7.62950115       7.63225142       7.61560604       7.55802514      
  0.03600000       2.15443469E-02   2670.41500634    -2.77087435      0.19267779       4.42505480       7.85343488       7.85774902       7.84924323       7.79498672      
  0.03600000       2.72833338E-02   2622.29162316    -2.87410387      0.17742372       4.49669373       8.06832902       8.07454495       8.07608902       8.02576613      
  0.03600000       3.45510729E-02   2562.55125102    -2.98018826      0.16443314       4.56274013       8.27943563       8.28818715       8.30393626       8.25955420      
  0.03600000       4.37547938E-02   2495.76189802    -3.08685843      0.15331433       4.62355380       8.48409518       8.49583280       8.53003344       8.49349738      
  0.03600000       5.54102033E-02   2420.55101976    -3.19676273      0.14362289       4.68027005       8.68683846       8.70212792       8.76008669       8.73303104      
  0.03600000       7.01703829E-02   2333.92411183    -3.31281357      0.13515908       4.73302637       8.88895123       8.90735336       8.99105491       8.97284841      
  0.03600000       8.88623816E-02   2231.81943440    -3.43838909      0.12791181       4.78089569       9.08548046       9.10417527       9.20698230       9.19501428      
  0.03600000       1.12533558E-01   2124.40491743    -3.56695450      0.12174921       4.82378487       9.27197531       9.28787823       9.40182007       9.39244301      
  0.03600000       1.42510267E-01   2012.62528458    -3.69900402      0.11651896       4.86192471       9.44966316       9.45906672       9.57699065       9.56528155      
  0.03600000       1.80472177E-01   1896.69504149    -3.83583741      0.11207397       4.89570843       9.62192053       9.62149057       9.73737592       9.72038520      
  0.03600000       2.28546386E-01   1782.12873400    -3.97446783      0.10822358       4.92607386       9.78558332       9.77204890       9.88140540       9.86073548      
  0.03600000       2.89426612E-01   1663.96543939    -4.12001009      0.10498652       4.95245066       9.94640142       9.91674844       10.01975446      9.99874554      
  0.03600000       3.66524124E-01   1556.39448596    -4.25936988      0.10221184       4.97571506       10.10218170      10.05467980      10.15525071      10.13740130     
  0.03600000       4.64158883E-01   1460.00034131    -4.39137582      0.09977597       4.99666537       10.25273517      10.18587693      10.28669683      10.27823643     
  0.03600000       5.87801607E-01   1363.87650022    -4.52897088      0.09758810       5.01592356       10.43179742      10.33195285      10.43520330      10.44166591     
  0.03600000       7.44380301E-01   1271.22417356    -4.66805025      0.09571166       5.03278777       10.65525804      10.49817671      10.60029696      10.61781443     
  0.03600000       9.42668455E-01   1194.42229689    -4.79212013      0.09398617       5.04858938       10.91956255      10.68007865      10.76315419      10.77758919     
  0.03600000       1.19377664E+00   1085.51271834    -4.97182906      0.09252310       5.06221663       11.31586772      10.94246143      10.97436984      10.96603935     
  0.03600000       1.51177507E+00   1011.44737418    -5.10644609      0.09126736       5.07408586       11.66122875      11.18034451      11.15324277      11.11022472     
  0.03600000       1.91448198E+00   941.45932195     -5.24192198      0.09012795       5.08499779       11.99000517      11.42011922      11.33013288      11.24545638     
  0.03600000       2.42446202E+00   870.14266294     -5.38876546      0.08909653       5.09499520       12.32070396      11.67619608      11.51534395      11.38501527     
  0.03600000       3.07029063E+00   804.56957580     -5.53380367      0.08818701       5.10390747       12.62185934      11.92346154      11.69333038      11.52325925     
  0.03600000       3.88815518E+00   748.75223846     -5.66667352      0.08738047       5.11188794       12.86515759      12.13632530      11.84716463      11.64786737     
  0.03600000       4.92388263E+00   697.28307662     -5.79765844      0.08665142       5.11916533       13.11731771      12.33834168      11.99308285      11.77108909     
  0.03600000       6.23550734E+00   654.98411137     -5.91308617      0.08598351       5.12588640       13.35183966      12.52151419      12.12601320      11.88614402     
  0.03600000       7.89652287E+00   616.46900345     -6.02457942      0.08537001       5.13210602       13.57989101      12.70010153      12.25731216      12.00006173     
  0.03600000       1.00000000E+01   583.71726264     -6.12527395      0.08479741       5.13795154       13.80309230      12.86607577      12.37984230      12.10485139     
