# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F200W     NIRCAM-F210M     NIRCAM-F187N     NIRCAM-F182M     NIRCAM-F212N    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.05900000       1.00000000E-03   2983.11502836    -1.50258280      0.66496669       3.56366704       5.82862831       5.76207626       5.94933247       5.91661565       5.73400129      
  0.05900000       1.26638017E-03   2983.11502836    -1.51604322      0.65472941       3.57714257       5.86278875       5.79617973       5.98344987       5.95085626       5.76807928      
  0.05900000       1.60371874E-03   2983.13142352    -1.52641486      0.64694756       3.58752841       5.88908448       5.82243228       6.00971372       5.97721227       5.79431149      
  0.05900000       2.03091762E-03   2983.25240905    -1.54051216      0.63648897       3.60168488       5.92478429       5.85807921       6.04536443       6.01298492       5.82993177      
  0.05900000       2.57191381E-03   2983.45849195    -1.56399434      0.61942765       3.62528540       5.98426682       5.91747305       6.10477305       6.07258828       5.88927784      
  0.05900000       3.25702066E-03   2983.93940740    -1.61276682      0.58541332       3.67434129       6.10772801       6.04075011       6.22810897       6.19629477       6.01244330      
  0.05900000       4.12462638E-03   2983.80199507    -1.73952850      0.50595972       3.80103630       6.42770798       6.36014817       6.54812046       6.51702708       6.33142762      
  0.05900000       5.22334507E-03   2985.39553436    -1.87441990      0.43271611       3.93686203       6.76751797       6.69941418       6.88813837       6.85747113       6.67016433      
  0.05900000       6.61474064E-03   2982.03093341    -1.98887829      0.38015353       4.04935079       7.05420389       6.98532105       7.17583320       7.14510425       6.95537403      
  0.05900000       8.37677640E-03   2972.57249140    -2.09253009      0.33955080       4.14745970       7.31186181       7.24183480       7.43550462       7.40419764       7.21092618      
  0.05900000       1.06081836E-02   2962.44939472    -2.18742931      0.30648524       4.23645019       7.54716180       7.47594840       7.67310766       7.64096893       7.44400906      
  0.05900000       1.34339933E-02   2951.97260496    -2.27624399      0.27866280       4.31911113       7.76679557       7.69435150       7.89532163       7.86211040       7.66130285      
  0.05900000       1.70125428E-02   2940.24909060    -2.36132482      0.25467962       4.39728029       7.97656663       7.90276994       8.10808652       8.07353248       7.86848413      
  0.05900000       2.15443469E-02   2922.39283130    -2.44705869      0.23357056       4.47243061       8.18633887       8.11068287       8.32209365       8.28562274       8.07476577      
  0.05900000       2.72833338E-02   2906.40298953    -2.52825785      0.21507399       4.54409351       8.38519193       8.30773446       8.52516886       8.48668870       8.27017666      
  0.05900000       3.45510729E-02   2882.75593855    -2.61185864      0.19855321       4.61351527       8.58811163       8.50812497       8.73407457       8.69275987       8.46832017      
