# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F460M     NIRCAM-F480M     NIRCAM-F322W2    NIRCAM-F356W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F250M     NIRCAM-F335M     NIRCAM-F430M     NIRCAM-F444W     NIRCAM-F360M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.02700000       1.00000000E-03   2755.60303864    -2.05230750      0.41384905       3.63609711       6.41479245       6.40366344       6.75818426       6.53089406       6.32855196       6.92440280       7.01640401       6.65532656       6.36649340       6.36766526       6.47154076      
  0.02700000       1.26638017E-03   2748.82084181    -2.11992105      0.38473441       3.69945646       6.58306483       6.57132839       6.92549152       6.69547272       6.49196190       7.09510597       7.18591238       6.82134765       6.53169360       6.53313336       6.63536786      
  0.02700000       1.60371874E-03   2742.53011100    -2.17720138      0.36185021       3.75272243       6.72545853       6.71316472       7.06690804       6.83436007       6.62976399       7.23964607       7.32940912       6.96157921       6.67118927       6.67287449       6.77356697      
  0.02700000       2.03091762E-03   2738.08799321    -2.21416160      0.34790026       3.78686937       6.81733571       6.80465808       7.15808744       6.92377307       6.71841662       7.33299211       7.42206644       7.05193361       6.76103583       6.76288726       6.86250471      
  0.02700000       2.57191381E-03   2735.78709213    -2.23243385      0.34123076       3.80368200       6.86274434       6.84986937       7.20312785       6.96790137       6.76215173       7.37914781       7.46787683       7.09654918       6.80539164       6.80732779       6.90638898      
  0.02700000       3.25702066E-03   2734.44864935    -2.24251085      0.33762177       3.81291713       6.88777507       6.87478879       7.22795624       6.99220760       6.78623213       7.40461225       7.49314962       7.12113407       6.82982600       6.83180883       6.93055640      
  0.02700000       4.12462638E-03   2733.02621761    -2.25318913      0.33384102       3.82269920       6.91430672       6.90120075       7.25426389       7.01795684       6.81174005       7.43160018       7.51993321       7.14718197       6.85571482       6.85774814       6.95615723      
  0.02700000       5.22334507E-03   2730.84391505    -2.26917213      0.32827713       3.83729738       6.95398941       6.94070077       7.29360211       7.05644070       6.84985438       7.47197759       7.56000293       7.18612324       6.89441337       6.89652322       6.99441471      
  0.02700000       6.61474064E-03   2726.79897318    -2.29683933      0.31893175       3.86238310       7.02254458       7.00892864       7.36155584       7.12283880       6.91557699       7.54181514       7.62930279       7.25335393       6.96119662       6.96343930       7.06040391      
  0.02700000       8.37677640E-03   2715.37700508    -2.35808890      0.29972286       3.91633847       7.17297759       7.15857461       7.51085826       7.26808391       7.05902962       7.69595705       7.78223003       7.40075434       7.10732807       7.10983987       7.20461132      
  0.02700000       1.06081836E-02   2681.84717555    -2.51207028      0.25735241       4.04872470       7.55144771       7.53463548       7.88475447       7.62987529       7.41557765       8.08409337       8.16746043       7.76903337       7.47227163       7.47561137       7.56339193      
  0.02700000       1.34339933E-02   2621.09803799    -2.68198424      0.22155150       4.17883101       7.96629279       7.94543864       8.28912581       8.01239178       7.78927395       8.51324293       8.59460564       8.16309083       7.86212544       7.86657131       7.94096090      
