# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F460M     NIRCAM-F480M     NIRCAM-F356W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F277W     NIRCAM-F250M     NIRCAM-F335M     NIRCAM-F430M     NIRCAM-F444W     NIRCAM-F360M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.06500000       1.00000000E-03   3013.56109153    -1.42348943      0.71370942       3.54428511       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       1.26638017E-03   3013.29399095    -1.43465288      0.70471112       3.55530564       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       1.60371874E-03   3013.07540201    -1.44628153      0.69543502       3.56681481       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       2.03091762E-03   3012.93664796    -1.46364145      0.68175668       3.58406910       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       2.57191381E-03   3012.93664796    -1.49477468      0.65775363       3.61520140       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       3.25702066E-03   3013.97745914    -1.56874828      0.60361987       3.68980055       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       4.12462638E-03   3016.22470126    -1.71309058      0.51045411       3.83541712       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       5.22334507E-03   3019.35610301    -1.83506728      0.44265036       3.95920787       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       6.61474064E-03   3014.80552636    -1.94341207      0.39193006       4.06491352       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       8.37677640E-03   3005.75099116    -2.04243566      0.35180245       4.15873280       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       1.06081836E-02   2997.41637742    -2.13348812      0.31855886       4.24494990       6.82122806       6.80807711       6.90259626       6.72017754       7.24757496       7.28535695       7.32085149       7.01547281       6.75749647       6.76491644       6.84617591      
  0.06500000       1.34339933E-02   2988.16905508    -2.21984220      0.29019735       4.32594364       7.03570228       7.02171211       7.11239546       6.92899858       7.46244973       7.50077600       7.53606965       7.22642431       6.96809780       6.97608391       7.05538019      
  0.06500000       1.70125428E-02   2978.58027377    -2.30245729      0.26557168       4.40296624       7.24100942       7.22613276       7.31253390       7.12801898       7.66820025       7.70701772       7.74202121       7.42789443       7.16911491       7.17771374       7.25484151      
  0.06500000       2.15443469E-02   2966.82963083    -2.38356661      0.24380869       4.47723188       7.44192312       7.42603634       7.50754179       7.32159268       7.86997652       7.90935953       7.94400674       7.62457145       7.36507967       7.37433370       7.44903732      
  0.06500000       2.72833338E-02   2946.12926872    -2.46773462      0.22441576       4.54922370       7.64552683       7.62836705       7.70411482       7.51570184       8.07669072       8.11703276       8.15126927       7.82373519       7.56244937       7.57238791       7.64446188      
  0.06500000       3.45510729E-02   2930.27405455    -2.54622967      0.20725143       4.61833446       7.83849529       7.82001574       7.88969782       7.69929297       8.27120269       8.31232246       8.34609522       8.01160441       7.74919994       7.75985326       7.82899994      
  0.06500000       4.37547938E-02   2907.45568138    -2.62743209      0.19172268       4.68598071       8.03476091       8.01470557       8.07728024       7.88409407       8.47066736       8.51291541       8.54614969       8.20224323       7.93797963       7.94938167       8.01524632      
  0.06500000       5.54102033E-02   2875.05721619    -2.71253969      0.17777302       4.75159774       8.23720592       8.21491820       8.26772821       8.07064209       8.67815993       8.72212199       8.75460740       8.39705990       8.13025707       8.14248581       8.20383086      
  0.06500000       7.01703829E-02   2842.49318881    -2.79581588      0.16524187       4.81508871       8.43789548       8.41293795       8.45337440       8.25232487       8.88304237       8.92900909       8.96054511       8.58754696       8.31883223       8.33197895       8.38739115      
  0.06500000       8.88623816E-02   2803.08294753    -2.88179239      0.15390595       4.87681705       8.64513146       8.61712909       8.64098142       8.43519704       9.09552772       9.14426131       9.17450874       8.78120609       8.51054798       8.52473676       8.57239908      
  0.06500000       1.12533558E-01   2753.88347650    -2.97224244      0.14368412       4.93651008       8.86289573       8.83174324       8.83279326       8.62125531       9.32031549       9.37303607       9.40143013       8.98074556       8.70822738       8.72364213       8.76094773      
  0.06500000       1.42510267E-01   2698.64086544    -3.06465398      0.13452779       4.99370354       9.09136594       9.05623732       9.02460047       8.80719218       9.55408037       9.61286891       9.63899866       9.18166687       8.90916569       8.92612959       8.94889191      
  0.06500000       1.80472177E-01   2631.38734576    -3.16281493      0.12636950       5.04804307       9.34153635       9.29983896       9.22116912       8.99733385       9.80683298       9.87453866       9.89722567       9.38981067       9.11978513       9.13864161       9.14058906      
  0.06500000       2.28546386E-01   2553.30986079    -3.26640023      0.11912632       5.09931249       9.61417315       9.56375901       9.42179456       9.19129569       10.07732595      10.15817174      10.17735617      9.60443580       9.34044641       9.36128129       9.33549078      
  0.06500000       2.89426612E-01   2468.38801255    -3.37221490      0.11284830       5.14633762       9.91092056       9.84798587       9.61925431       9.38352527       10.35729918      10.45875302      10.47644787      9.81759260       9.56647047       9.58933001       9.52676059      
  0.06500000       3.66524124E-01   2370.70087813    -3.48552864      0.10737527       5.18951965       10.23021930      10.15243088      9.82188327       9.58076453       10.64944718      10.77991583      10.80058680      10.03913807      9.80287973       9.82563047       9.72244677      
  0.06500000       4.64158883E-01   2262.44001263    -3.60530385      0.10271272       5.22808069       10.54132904      10.45154600      10.03163363      9.78058701       10.93837172      11.10296436      11.13436918      10.27467114      10.04208698      10.05938644      9.92416106      
  0.06500000       5.87801607E-01   2156.51052365    -3.72307001      0.09871798       5.26253665       10.80741355      10.70992332      10.25619939      9.97459009       11.21037393      11.40290633      11.45114509      10.54673119      10.26794596      10.27485375      10.13735890     
  0.06500000       7.44380301E-01   2046.53614408    -3.84500647      0.09525404       5.29356121       11.04500586      10.94342864      10.52354164      10.17140574      11.49229696      11.70199759      11.77060756      10.90671113      10.49093786      10.48410011      10.39161237     
