# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F200W     NIRCAM-F210M     NIRCAM-F187N     NIRCAM-F182M     NIRCAM-F212N    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.06700000       1.00000000E-03   3024.26770090    -1.39792635      0.72982400       3.53805281       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06700000       1.26638017E-03   3023.93138598    -1.40874120      0.72095284       3.54867565       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06700000       1.60371874E-03   3023.63942891    -1.42093985      0.71105317       3.56068522       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06700000       2.03091762E-03   3023.29133959    -1.43960840      0.69609768       3.57914867       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06700000       2.57191381E-03   3023.01289699    -1.47403469      0.66916357       3.61342469       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06700000       3.25702066E-03   3024.12682128    -1.55919420      0.60622331       3.69922386       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06700000       4.12462638E-03   3027.06919754    -1.70323221      0.51258183       3.84496489       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06700000       5.22334507E-03   3030.67966081    -1.82179391      0.44610942       3.96560624       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06700000       6.61474064E-03   3025.40587296    -1.92868422      0.39582805       4.06947813       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06700000       8.37677640E-03   3016.19670746    -2.02662374      0.35579486       4.16209125       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06700000       1.06081836E-02   3008.04610109    -2.11666609      0.32249240       4.24745317       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06700000       1.34339933E-02   2999.66639861    -2.20198989      0.29395435       4.32793093       7.59228618       7.52306774       7.71396314       7.68314751       7.49204171      
  0.06700000       1.70125428E-02   2990.46175209    -2.28407244      0.26909595       4.40467767       7.79548754       7.72514744       7.91952671       7.88769792       7.69308621      
  0.06700000       2.15443469E-02   2980.04979854    -2.36412001      0.24712554       4.47865665       7.99307855       7.92150745       8.11984043       8.08676651       7.88830071      
  0.06700000       2.72833338E-02   2960.22739663    -2.44769583      0.22746906       4.55064706       8.19722020       8.12367864       8.32845601       8.29336193       8.08878056      
  0.06700000       3.45510729E-02   2942.84585863    -2.52711713      0.21005403       4.61982998       8.39141246       8.31603457       8.52689021       8.48981245       8.27951082      
  0.06700000       4.37547938E-02   2923.92698426    -2.60589866      0.19433164       4.68740268       8.58351495       8.50613058       8.72367098       8.68437784       8.46782772      
  0.06700000       5.54102033E-02   2893.67167715    -2.68996461      0.18011501       4.75339067       8.78580450       8.70539648       8.93304574       8.89044333       8.66450496      
  0.06700000       7.01703829E-02   2861.80059344    -2.77304985      0.16735034       4.81723615       8.98514669       8.90126695       9.14069897       9.09406798       8.85727400      
  0.06700000       8.88623816E-02   2824.67450669    -2.85796236      0.15577934       4.87946945       9.18805518       9.09979303       9.35411788       9.30235526       9.05184553      
  0.06700000       1.12533558E-01   2778.48457093    -2.94686933      0.14533570       4.93974445       9.39966359       9.30552147       9.57974336       9.52119131       9.25230953      
  0.06700000       1.42510267E-01   2725.13520877    -3.03830334      0.13598366       4.99751561       9.61721490       9.51553589       9.81514728       9.74805778       9.45570023      
  0.06700000       1.80472177E-01   2662.37576720    -3.13374713      0.12764662       5.05247042       9.84496385       9.73274423       10.06720323      9.98862735       9.66374532      
  0.06700000       2.28546386E-01   2588.41273700    -3.23432335      0.12028248       5.10408572       10.08430595      9.95868354       10.33785063      10.24473049      9.87836054      
  0.06700000       2.89426612E-01   2506.36362836    -3.33802039      0.11384653       5.15184956       10.33269591      10.18973411      10.62612216      10.51484450      10.09538531     
  0.06700000       3.66524124E-01   2415.60793815    -3.44601855      0.10823621       5.19574491       10.59189722      10.42829545      10.93288650      10.80041695      10.31826053     
  0.06700000       4.64158883E-01   2310.64211779    -3.56260570      0.10343414       5.23516329       10.87439087      10.68711918      11.26945765      11.11359623      10.56042175     
  0.06700000       5.87801607E-01   2205.66989175    -3.67829983      0.09935500       5.27011035       11.15695129      10.94746786      11.60172229      11.42507861      10.80601618     
  0.06700000       7.44380301E-01   2103.96728520    -3.79158074      0.09584152       5.30138255       11.44027257      11.21055996      11.92790720      11.73379419      11.05640849     
  0.06700000       9.42668455E-01   1993.39009232    -3.91320109      0.09282150       5.32919295       11.74671677      11.49695032      12.27278087      12.06306097      11.33097949     
  0.06700000       1.19377664E+00   1885.05546101    -4.03469995      0.09024630       5.35363098       12.06235321      11.79445727      12.61582614      12.39500434      11.61884989     
