# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRISS-F480M     NIRISS-F277W     NIRISS-F430M     NIRISS-F380M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.02800000       1.00000000E-03   2767.26730698    -2.02914462      0.42146025       3.63606204       6.35491722       6.91810045       6.31986412       6.29264313      
  0.02800000       1.26638017E-03   2761.04991659    -2.09524140      0.39233910       3.69825087       6.51882503       7.08447639       6.48154169       6.45208476      
  0.02800000       1.60371874E-03   2755.39746945    -2.14904003      0.37028267       3.74850604       6.65216737       7.22003492       6.61283772       6.58131716      
  0.02800000       2.03091762E-03   2751.75163620    -2.18182205      0.35751562       3.77898267       6.73338760       7.30267603       6.69270326       6.65981235      
  0.02800000       2.57191381E-03   2749.87951910    -2.19762950      0.35154269       3.79361667       6.77254098       7.34255760       6.73117150       6.69758334      
  0.02800000       3.25702066E-03   2748.72096593    -2.20733511      0.34793221       3.80258365       6.79655776       7.36702343       6.75475835       6.72073298      
  0.02800000       4.12462638E-03   2747.30451891    -2.21885660      0.34370042       3.81321274       6.82508064       7.39609471       6.78275993       6.74820299      
  0.02800000       5.22334507E-03   2745.06947548    -2.23654128      0.33732095       3.82948623       6.86884274       7.44071969       6.82570006       6.79030350      
  0.02800000       6.61474064E-03   2740.87990444    -2.26831374      0.32620273       3.85859762       6.94740435       7.52088937       6.90271775       6.86574079      
  0.02800000       8.37677640E-03   2728.50447693    -2.34364041      0.30182569       3.92606014       7.13247534       7.71071155       7.08370636       7.04244205      
  0.02800000       1.06081836E-02   2692.06139104    -2.51166890      0.25551592       4.07073661       7.54247169       8.13415669       7.48208793       7.42847894      
  0.02800000       1.34339933E-02   2635.02697168    -2.67174548      0.22181364       4.19359783       7.92936018       8.54028597       7.84967527       7.77551387      
  0.02800000       1.70125428E-02   2579.72898824    -2.80660316      0.19814546       4.29160414       8.25818988       8.88729825       8.15721342       8.05989060      
  0.02800000       2.15443469E-02   2513.26236889    -2.93509727      0.18005411       4.37476633       8.57454811       9.22424428       8.44502208       8.31665346      
  0.02800000       2.72833338E-02   2440.58196491    -3.05853088      0.16564508       4.44721656       8.89158379       9.56057519       8.72348413       8.55258624      
  0.02800000       3.45510729E-02   2359.35677169    -3.18162370      0.15382186       4.51153717       9.22460091       9.90824516       9.00243916       8.77741858      
  0.02800000       4.37547938E-02   2263.65612071    -3.31161655      0.14387747       4.56958818       9.57986125       10.27646230      9.29293070       9.00101056      
  0.02800000       5.54102033E-02   2155.53009663    -3.44771748      0.13566306       4.62064975       9.92509980       10.64436245      9.58728227       9.22199974      
  0.02800000       7.01703829E-02   2044.10297755    -3.58498508      0.12880558       4.66570501       10.23985264      11.00222708      9.87149165       9.44036613      
  0.02800000       8.88623816E-02   1926.30670432    -3.72715552      0.12314083       4.70476899       10.53180356      11.36935070      10.15846085      9.66832080      
  0.02800000       1.12533558E-01   1819.64510868    -3.86033040      0.11838483       4.73898179       10.75706787      11.69862455      10.41028075      9.90016737      
  0.02800000       1.42510267E-01   1693.56127737    -4.01562832      0.11429022       4.76955458       10.97999917      12.08252648      10.69050255      10.21924217     
  0.02800000       1.80472177E-01   1583.43726233    -4.15847528      0.11091656       4.79557974       11.16605108      12.45053625      10.94743887      10.59416719     
  0.02800000       2.28546386E-01   1482.45549610    -4.29586221      0.10802663       4.81851104       11.32819955      12.82400818      11.18407549      11.03224567     
  0.02800000       2.89426612E-01   1389.83993159    -4.42883421      0.10545851       4.83940955       11.46646821      13.20816790      11.37983175      11.47305656     
  0.02800000       3.66524124E-01   1290.35997815    -4.57646723      0.10322432       4.85800895       11.60327610      13.68418665      11.58225367      11.92833802     
  0.02800000       4.64158883E-01   1218.22855221    -4.69347095      0.10121419       4.87509023       11.72734409      14.09994982      11.75145844      12.25049362     
  0.02800000       5.87801607E-01   1118.93459108    -4.85651316      0.09944220       4.89043136       11.89607519      14.63705818      11.97968804      12.60542201     
  0.02800000       7.44380301E-01   1036.28611733    -5.00300464      0.09794355       4.90362081       12.06804636      15.14033332      12.20329552      12.90868098     
  0.02800000       9.42668455E-01   963.85455251     -5.14070855      0.09661835       4.91545336       12.24276610      15.61372140      12.42146000      13.17986209     
  0.02800000       1.19377664E+00   897.41961475     -5.27553762      0.09542885       4.92621306       12.41692183      16.05934126      12.63250245      13.43700156     
  0.02800000       1.51177507E+00   834.04122256     -5.41276939      0.09433574       4.93621983       12.60144676      16.53226426      12.85036596      13.69134021     
  0.02800000       1.91448198E+00   769.21642240     -5.56236815      0.09335762       4.94527274       12.80921462      17.06730215      13.08772738      13.97239852     
  0.02800000       2.42446202E+00   711.03563834     -5.70698518      0.09250177       4.95327220       13.01667169      17.60037437      13.31249417      14.24867558     
  0.02800000       3.07029063E+00   665.49576572     -5.82930207      0.09172472       4.96059953       13.20973553      18.07508549      13.50668898      14.49668612     
  0.02800000       3.88815518E+00   621.16890092     -5.95600553      0.09099042       4.96758092       13.38424407      18.62016070      13.72337617      14.78395666     
  0.02800000       4.92388263E+00   577.53505689     -6.08903709      0.09031336       4.97406824       13.58912989      19.21221492      13.95392728      15.10043132     
  0.02800000       6.23550734E+00   538.70271108     -6.21587627      0.08969936       4.97999361       13.81429624      19.82078256      14.18592009      15.43670796     
  0.02800000       7.89652287E+00   505.51785064     -6.33182262      0.08913314       4.98549385       14.03498253      20.37826393      14.39652476      15.75950204     
  0.02800000       1.00000000E+01   477.47744973     -6.43611794      0.08860554       4.99065046       14.26119502      20.94243360      14.60707649      16.08614098     
