# Mass             Age              Teff             Luminosity       Radius           Gravity          MIRI-F560W       MIRI-F770W       MIRI-F1000W      MIRI-F1130W      MIRI-F1280W      MIRI-F1500W      MIRI-F1800W      MIRI-F2100W      MIRI-F2550W     
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.04800000       1.00000000E-03   2927.16115399    -1.66135688      0.57524245       3.59995566       5.50251806       5.45270026       5.33155815       5.31474720       5.29895533       5.27295659       5.23974119       5.21285173       5.18192178      
  0.04800000       1.26638017E-03   2926.60681397    -1.68571098      0.55955543       3.62396981       5.56318515       5.51328176       5.39192232       5.37513891       5.35944487       5.33356786       5.30047336       5.27365565       5.24274341      
  0.04800000       1.60371874E-03   2926.31175019    -1.69773812      0.55197153       3.63582229       5.59315267       5.54320977       5.42173410       5.40496506       5.38932137       5.36350656       5.33047317       5.30369143       5.27278781      
  0.04800000       2.03091762E-03   2926.03825642    -1.70824855      0.54542280       3.64618912       5.61937328       5.56939925       5.44781720       5.43106049       5.41546113       5.38970038       5.35671985       5.32996897       5.29907205      
  0.04800000       2.57191381E-03   2925.70140321    -1.72320364      0.53624543       3.66092862       5.65661745       5.60661228       5.48488055       5.46814317       5.45260698       5.42692200       5.39401541       5.36730732       5.33641922      
  0.04800000       3.25702066E-03   2925.12024246    -1.74861960      0.52098313       3.68600853       5.71999676       5.66995777       5.54795772       5.53125397       5.51582653       5.49026884       5.45748549       5.43084766       5.39997145      
  0.04800000       4.12462638E-03   2924.18944103    -1.80301037      0.48967447       3.73984080       5.85587312       5.80585205       5.68325645       5.66664217       5.65145937       5.62617843       5.59365886       5.56716787       5.53631271      
  0.04800000       5.22334507E-03   2921.59673649    -1.93943597      0.41923810       3.87473414       6.19722053       6.14737928       6.02288900       6.00657072       5.99213010       5.96766652       5.93588826       5.90979401       5.87898412      
  0.04800000       6.61474064E-03   2917.92304053    -2.07550243      0.35935527       4.00861004       6.53803422       6.48827685       6.36126474       6.34534578       6.33186698       6.30846810       6.27760759       6.25199461       6.22125112      
  0.04800000       8.37677640E-03   2904.62459435    -2.19389178      0.31644835       4.11905285       6.82815994       6.77764018       6.64646589       6.63076216       6.61843567       6.59631665       6.56648176       6.54139029       6.51065252      
