# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F480M     NIRCAM-F187N     NIRCAM-F356W     NIRCAM-F150W2    NIRCAM-F210M     NIRCAM-F470N     NIRCAM-F150W     NIRCAM-F405N     NIRCAM-F335M     NIRCAM-F140M     NIRCAM-F182M     NIRCAM-F070W     NIRCAM-F200W     NIRCAM-F360M     NIRCAM-F460M     NIRCAM-F466N     NIRCAM-F323N     NIRCAM-F430M     NIRCAM-F212N     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F444W     NIRCAM-F250M     NIRCAM-F277W     NIRCAM-F162M     NIRCAM-F090W     NIRCAM-F164N     NIRCAM-F322W2    NIRCAM-F115W    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.01600000       1.00000000E-03   2564.60115021    -2.39532121      0.32190498       3.62708059       7.13306681       8.17190929       7.25142489       8.40014226       7.86296250       7.14271864       8.44429583       6.99159943       7.39945981       8.70225079       8.10338587       12.48580492      7.98928919       7.17892890       7.14695990       7.11148604       7.51530010       7.08425859       7.81003166       7.02298416       7.73759557       7.07992429       7.82575599       7.78976169       8.05863875       10.16728899      7.95018105       7.52804433       8.90999877      
  0.01600000       1.26638017E-03   2548.19768792    -2.46873306      0.29963724       3.68934578       7.31409248       8.35999393       7.42378443       8.57933346       8.04069924       7.32383978       8.62686537       7.15977378       7.57598156       8.89254610       8.28628766       12.72349187      8.16998164       7.34946028       7.32933252       7.29317313       7.69530968       7.25906066       7.98517056       7.19201270       7.92591937       7.25470799       8.01152140       7.97782320       8.23220081       10.36419566      8.12155557       7.70761669       9.08844018      
  0.01600000       1.60371874E-03   2527.63453745    -2.54475171      0.27901162       3.75129219       7.50069532       8.55571451       7.59964142       8.76422742       8.22361203       7.51052218       8.81618556       7.33058126       7.75686087       9.09147314       8.47572348       12.98098801      8.35659298       7.52316097       7.51764796       7.48068010       7.88034116       7.43811627       8.16490471       7.36390865       8.12114407       7.43364645       8.20402185       8.17299703       8.41041307       10.57168134      8.29708534       7.89226953       9.27233741      
  0.01600000       2.03091762E-03   2497.46481856    -2.62686310      0.26001283       3.81254725       7.69936159       8.76895041       7.78362713       8.96260570       8.41855657       7.70918016       9.02141352       7.50757416       7.94775692       9.31047582       8.68030360       13.28398002      8.55691518       7.70424976       7.71873250       7.68071206       8.07687588       7.62677348       8.35536778       7.54251174       8.33211820       7.62184253       8.41182682       8.38431951       8.59990807       10.80376547      8.48287059       8.08857202       9.46942252      
  0.01600000       2.57191381E-03   2467.20787035    -2.70511106      0.24347258       3.86963471       7.89090823       8.97399132       7.95798108       9.15205785       8.60435750       7.90025846       9.21785650       7.67492204       8.12919339       9.52175252       8.87625058       13.57833380      8.74837961       7.87574856       7.91331850       7.87369098       8.26397875       7.80707810       8.53651500       7.71166651       8.53435564       7.80170119       8.61162964       8.58753518       8.77981497       11.02750313      8.65903638       8.27574162       9.65784213      
  0.01600000       3.25702066E-03   2437.26652683    -2.77743287      0.22956323       3.92073233       8.07115850       9.16571416       8.11755373       9.32737714       8.77567600       8.07947515       9.39986826       7.82770689       8.29587660       9.71964315       9.05848199       13.85595718      8.92578242       8.03255052       8.09706180       8.05484542       8.43623438       7.97431423       8.70296812       7.86648479       8.72279917       7.96846337       8.79884234       8.77794134       8.94487732       11.23621634      8.82029897       8.44872667       9.83256761      
  0.01600000       4.12462638E-03   2408.82526943    -2.83907688      0.21891298       3.96199235       8.22728522       9.33120404       8.25118804       9.47669435       8.92077110       8.23449080       9.55531215       7.95510702       8.43621951       9.89090951       9.21468842       14.09986041      9.07704563       8.16364036       8.25666368       8.21138452       8.58174701       8.11659811       8.84328055       7.99600903       8.88464273       8.11018943       8.96056872       8.94252739       9.08406806       11.41615982      8.95583997       8.59556391       9.98169022      
  0.01600000       5.22334507E-03   2386.06971927    -2.88431096      0.21178867       3.99072970       8.34334104       9.45372633       8.34750033       9.58594255       9.02640461       8.34978313       9.66935189       8.04656360       8.53784803       10.01799372      9.32964050       14.28290327      9.18783238       8.25798011       8.37545778       8.32746524       8.68742326       8.22066207       8.94501313       8.08928318       9.00392087       8.21369599       9.08037578       9.06452894       9.18507399       11.54903767      9.05388257       8.70266745       10.09094525     
  0.01600000       6.61474064E-03   2370.26211014    -2.91414101      0.20737811       4.00900914       8.42068204       9.53505977       8.41023480       9.65788331       9.09571383       8.42665582       9.74454304       8.10599919       8.60425144       10.10246863      9.40564108       14.40569399      9.26083298       8.31937433       8.45462199       8.40453040       8.75658499       8.28922323       9.01157332       8.15003817       9.08277440       8.28177552       9.15999515       9.14556839       9.25119080       11.63714494      9.11791175       8.77300475       10.16298098     
  0.01600000       8.37677640E-03   2359.31568574    -2.93429940      0.20450485       4.02112705       8.47340905       9.59030243       8.45236208       9.70650847       9.14245014       8.47909269       9.79535387       8.14587664       8.64891488       10.15983560      9.45713930       14.48917348      9.31019235       8.36058544       8.50862614       8.45700795       8.80313281       8.33560898       9.05638041       8.19085943       9.13618015       8.32779439       9.21414466       9.20064921       9.29570106       11.69680429      9.16097177       8.82046548       10.21174278     
  0.01600000       1.06081836E-02   2349.52052324    -2.95201584      0.20204565       4.03163623       8.52011125       9.63909956       8.48924814       9.74930366       9.18350454       8.52555618       9.84005230       8.18077350       8.68806826       10.21049518      9.50254853       14.56283838      9.35364267       8.39665975       8.55649930       8.50348020       8.84395331       8.37645896       9.09568991       8.22662206       9.18324117       8.36829420       9.26202474       9.24932523       9.33474884       11.74935443      9.19872180       8.86217239       10.25472210     
  0.01600000       1.34339933E-02   2336.90091606    -2.97458357      0.19899912       4.04483310       8.57994623       9.70142551       8.53596398       9.80377511       9.23565787       8.58510827       9.89688828       8.22496020       8.73770509       10.27515555      9.56045228       14.65655289      9.40895586       8.44234014       8.61790740       8.56305383       8.89571021       8.42849888       9.14556679       8.27195463       9.24319117       8.41985559       9.32325533       9.31152665       9.38428327       11.81621585      9.24658761       8.91517166       10.30953470     
  0.01600000       1.70125428E-02   2317.42253449    -3.00869450      0.19456316       4.06441351       8.67144728       9.79639277       8.60621992       9.88635922       9.31447706       8.67621795       9.98290294       8.29139091       8.81246776       10.37357999      9.64847004       14.79826895      9.49281953       8.51102226       8.71203986       8.65434873       8.97367445       8.50743622       9.22080976       8.34022095       9.33413486       8.49799567       9.41669871       9.40633815       9.45898653       11.91751090      9.31873663       8.99527834       10.39292437     
  0.01600000       2.15443469E-02   2284.79715519    -3.06468047      0.18766787       4.09575451       8.82317720       9.95375247       8.72053181       10.02237444      9.44369391       8.82733694       10.12388672      8.39957391       8.93428210       10.53625899      9.79392312       15.02952214      9.63091018       8.62278566       8.86891707       8.80668510       9.10052157       8.63723686       9.34392915       8.45160962       9.48327989       8.62626046       9.57172937       9.56310154       9.58102414       12.08418934      9.43659861       9.12625693       10.53113839     
  0.01600000       2.72833338E-02   2216.11489202    -3.17555008      0.17557670       4.15360211       9.12328165       10.26904842      8.94106785       10.29153414      9.69753212       9.12626618       10.40131004      8.60875063       9.16978754       10.86144942      10.08401196      15.49759563      9.90440283       8.83860819       9.18146928       9.10984804       9.34458386       8.89257494       9.58524088       8.66771849       9.77345482       8.87661759       9.88193597       9.87354187       9.81954473       12.42052709      9.66660655       9.38061323       10.80597183     
  0.01600000       3.45510729E-02   2060.22244179    -3.39119612      0.15848973       4.24253258       9.67734243       10.89768209      9.35032489       10.81777792      10.18530100      9.67987168       10.93437235      8.98758365       9.62212570       11.51580452      10.65797498      16.46561957      10.43809821      9.23561797       9.75767072       9.66507258       9.80467815       9.37232622       10.04610233      9.06092387       10.30775709      9.33151065       10.48282318      10.46102880      10.26886802      13.11252265      10.09743869      9.85054072       11.35566131     
  0.01600000       4.37547938E-02   1864.22873327    -3.65061695      0.14358950       4.32828963       10.26287294      11.67015935      9.91858766       11.46334687      10.78642648      10.27218331      11.56483274      9.43026769       10.35293162      12.33080205      11.36665658      17.58751097      11.09753114      9.77492514       10.35901107      10.25385465      10.51481512      9.92642378       10.61262971      9.51756701       10.94249451      9.83554470       11.20657071      11.14739892      10.80365474      13.91660157      10.61073199      10.44963903      12.02873664     
  0.01600000       5.54102033E-02   1684.58724572    -3.88607506      0.13409157       4.38773135       10.65639102      12.33808670      10.60475832      12.05690706      11.35225218      10.67452563      12.12039227      9.83130887       11.40156097      13.05344352      12.00147572      18.76134627      11.70761468      10.47572802      10.75565157      10.65036598      11.56457748      10.37895217      11.14674529      9.92930613       11.52415585      10.24582000      11.85243140      11.73393169      11.30878671      14.55977184      11.10842367      11.08750579      12.61458546     
  0.01600000       7.01703829E-02   1536.67099277    -4.08836972      0.12766908       4.43036417       10.93465901      12.90246412      11.28440514      12.58947719      11.87919762      10.95852678      12.61865947      10.21152319      12.38806137      13.68034940      12.56661954      19.94643229      12.26733256      11.23831277      11.03587668      10.92976547      12.55644530      10.75215014      11.64585543      10.32860502      12.01913428      10.60707727      12.45645394      12.24501382      11.80062087      15.06845919      11.60967678      11.68831720      13.07638916     
  0.01600000       8.88623816E-02   1395.23886798    -4.28901632      0.12291730       4.46330882       11.16846889      13.48547724      11.98680649      13.14657552      12.43794558      11.19497910      13.18168307      10.64849781      13.15822366      14.34941253      13.18950299      21.07611472      12.86105694      12.02154647      11.26569244      11.16196397      13.35107712      11.10231518      12.18687871      10.79668262      12.50739294      10.98744332      13.14389880      12.78918880      12.40612197      15.58352586      12.26495640      12.31011934      13.48889063     
  0.01600000       1.12533558E-01   1291.35773535    -4.44993626      0.11922549       4.48979656       11.33177371      13.98039670      12.52415178      13.59982710      12.87389350      11.35893108      13.68259951      11.02280595      13.72622092      14.91233159      13.73195796      21.83181666      13.33393261      12.57063399      11.41871320      11.32157342      13.94959042      11.34083164      12.62262267      11.18310574      12.91662776      11.27782420      13.73429056      13.26196262      12.97034147      16.02965843      12.92344430      12.80979300      13.81273326     
  0.01600000       1.42510267E-01   1194.28010379    -4.60852912      0.11613447       4.51261289       11.48526629      14.52670408      12.99847984      14.05052821      13.29160180      11.51226488      14.20481888      11.38318061      14.28146130      15.51115535      14.31140124      22.53047716      13.80239497      13.03385406      11.55652212      11.46860430      14.54127962      11.56083724      13.04561555      11.53674468      13.35884553      11.53835932      14.34855289      13.78193614      13.55853513      16.51133328      13.67482161      13.29353983      14.14508662     
  0.01600000       1.80472177E-01   1101.62509464    -4.76855645      0.11352329       4.53236479       11.65248046      15.15564447      13.42567264      14.51258355      13.72721430      11.67862703      14.74249896      11.73165738      14.81969357      16.16604637      14.95296842      23.26096573      14.29985927      13.45383584      11.70506234      11.62780896      15.10271702      11.79390525      13.48511795      11.86850688      13.84380492      11.79008099      14.98973695      14.35166118      14.14351110      17.02367928      14.48353488      13.76691444      14.49642267     
  0.01600000       2.28546386E-01   1019.43305224    -4.92025088      0.11132466       4.54935190       11.82282038      15.76977564      13.78026716      14.93947462      14.15469865      11.84697679      15.20930133      12.02782391      15.33316590      16.77696017      15.56465357      23.97261721      14.78022610      13.81003622      11.85772777      11.79080129      15.67715196      12.01960494      13.91146084      12.14948762      14.30560451      12.01576282      15.55706314      14.87436290      14.62450866      17.50076714      15.17477501      14.17094819      14.85315229     
  0.01600000       2.89426612E-01   945.21733453     -5.06635268      0.10944565       4.56413765       12.00140708      16.39356341      14.11110215      15.36647221      14.59271051      12.02473152      15.65321364      12.31885954      15.79160560      17.39031706      16.19735601      24.65986829      15.26876433      14.15324027      12.02126349      11.96403469      16.19085617      12.25805430      14.33794094      12.42590756      14.78950251      12.24286918      16.10756417      15.40953531      15.06428504      17.95515762      15.84728014      14.56161848      15.21629950     
  0.01600000       3.66524124E-01   872.66952443     -5.21812960      0.10781286       4.57719349       12.19412130      17.01982675      14.41830974      15.81571068      15.09969174      12.21251050      16.10077526      12.58714654      16.19683349      18.01217101      16.82294102      25.35301636      15.80714011      14.45542496      12.19865388      12.15190736      16.65233276      12.50037977      14.82255592      12.69269325      15.26894294      12.47062705      16.62492564      15.92119431      15.48896402      18.44097444      16.43839287      14.91300352      15.61140994     
  0.01600000       4.64158883E-01   803.71288522     -5.37249324      0.10641388       4.58853808       12.40314655      17.68102270      14.74249590      16.29945240      15.66437613      12.41774806      16.57875784      12.86653271      16.64840879      18.66779294      17.49627239      26.00886890      16.39961889      14.78221971      12.39510684      12.35818753      17.16828952      12.75655969      15.34463376      12.97153894      15.80391278      12.71203878      17.16771925      16.48235093      15.93604853      18.96099773      17.05509487      15.28315864      16.03850258     
  0.01600000       5.87801607E-01   744.47143029     -5.51548952      0.10519499       4.59854449       12.59387148      18.29612431      15.03291887      16.75291566      16.21329884      12.58658372      17.02987554      13.12719805      17.08690084      19.27031444      18.12048926      26.46534373      16.96856749      15.07806666      12.57559423      12.54528276      17.69126273      12.99233466      15.84211378      13.22605376      16.31458416      12.93403789      17.66951439      17.01512645      16.35434761      19.45106027      17.61735159      15.61391049      16.44074161     
  0.01600000       7.44380301E-01   688.77994426     -5.65958633      0.10410816       4.60756483       12.79979470      18.91903484      15.33143044      17.22732927      16.78376133      12.80803034      17.50975826      13.38242476      17.56309586      19.87791629      18.74230268      27.04831393      17.55457183      15.38337315      12.77640684      12.74713825      18.27509881      13.22275122      16.35331072      13.48105771      16.83622182      13.15955991      18.18674522      17.56237484      16.79860734      19.97420541      18.17392610      15.94454085      16.87022711     
  0.01600000       9.42668455E-01   641.21969312     -5.79222551      0.10311020       4.61593099       13.00008620      19.54820499      15.63527627      17.69328672      17.36642950      12.99722504      17.98717923      13.64385745      18.06477799      20.47614391      19.36409957      27.22661227      18.14998329      15.69782721      12.96345053      12.93918136      18.91383499      13.44686086      16.88364193      13.73463732      17.35988556      13.37842949      18.72077122      18.11982831      17.24215902      20.46697398      18.73171745      16.27326773      17.29117430     
  0.01600000       1.19377664E+00   595.72665874     -5.92771521      0.10220627       4.62357922       13.20658411      20.20593979      15.95240517      18.17655328      17.97764634      13.19155928      18.48591070      13.91590217      18.60669243      21.08857540      19.99736508      27.55074402      18.77139434      16.03317658      13.15822901      13.14461547      19.62593023      13.66727132      17.44472834      13.98803012      17.90424365      13.60170566      19.29091116      18.70452224      17.70780370      20.96073287      19.30281469      16.60764574      17.73218480     
  0.01600000       1.51177507E+00   552.08529294     -6.06682657      0.10139115       4.63053415       13.42552075      21.02292198      16.32310589      18.72539729      18.70721680      13.39522853      19.06049690      14.24243359      19.20758168      21.79261893      20.75220612      27.80155218      19.51159972      16.42659928      13.37559884      13.35226699      20.44079687      13.92862842      18.12708496      14.29148845      18.51930229      13.85637498      19.97023790      19.37297872      18.24894185      21.48321721      19.97965921      16.99426538      18.23061348     
  0.01600000       1.91448198E+00   520.36474991     -6.17622928      0.10062369       4.63713379       13.59458120      21.67076595      16.62551149      19.16149031      19.28779197      13.56673336      19.52153219      14.50633616      19.65325342      22.34551325      21.34966963      28.26423016      20.09995155      16.74824511      13.55328856      13.52932951      21.04817231      14.14594288      18.68209452      14.53949942      18.99031558      14.06380698      20.50441817      19.88559088      18.68902822      21.87184637      20.51709109      17.30231405      18.62798468     
  0.01600000       2.42446202E+00   487.41877498     -6.29625457      0.09988275       4.64355327       13.84748733      22.56995038      17.01335094      19.76337911      20.11181453      13.81100317      20.17870712      14.80732992      20.21116781      23.12668826      22.16288773      28.59722636      20.92550969      17.16067318      13.78378784      13.77009491      21.83750073      14.38886097      19.50728607      14.84449091      19.57580900      14.31961804      21.19793891      20.52470789      19.32653819      22.36250532      21.31511658      17.69076093      19.17951519     
  0.01600000       3.07029063E+00   454.19327052     -6.42495797      0.09919021       4.64959660       14.11022634      23.50931150      17.41271134      20.40803925      20.98462249      14.06310394      20.85986816      15.17190002      20.79170471      23.94628307      23.01529588      28.85667443      21.79810573      17.58995668      14.03144346      14.02466861      22.69833812      14.65642015      20.38536091      15.16337364      20.17484615      14.59450930      21.90309538      21.17564433      19.99376291      22.86233717      22.16628642      18.09054430      19.78333804     
  0.01600000       3.88815518E+00   425.72344255     -6.54308934      0.09854246       4.65528741       14.35770541      24.40226570      17.78367199      21.06258838      21.81717912      14.29878100      21.49795312      15.49195521      21.32406045      24.74632201      23.81955862      29.10993133      22.62938179      17.99396941      14.26068502      14.26012854      23.49981945      14.88949509      21.24027600      15.45535451      20.73454081      14.84442076      22.56370103      21.77756629      20.62275254      23.33363575      22.97720384      18.45794923      20.41897945     
  0.01600000       4.92388263E+00   398.59389749     -6.66290261      0.09792799       4.66072050       14.63414547      25.42878208      18.20808552      21.83883931      22.78005013      14.56221110      22.18643399      15.84115325      21.92815512      25.66378507      24.73138434      29.25119363      23.58672764      18.45898169      14.51184976      14.52098824      24.42350356      15.12710501      22.23460806      15.75878782      21.36257075      15.11007328      23.30297874      22.45281558      21.30377410      23.83214464      23.89752556      18.87406813      21.20031057     
  0.01600000       6.23550734E+00   378.22228918     -6.75936827      0.09732757       4.66606248       14.86321179      26.29090828      18.55858845      22.49796866      23.59693158      14.77762845      22.72381047      16.12116389      22.42711185      26.41333278      25.48274355      29.32742067      24.39523667      18.84547874      14.72010361      14.73761645      25.18078134      15.33515237      23.08283071      16.01327104      21.89496666      15.33272635      23.91141539      23.01497215      21.83631814      24.22091919      24.67194015      19.21572656      21.88769603     
  0.01600000       7.89652287E+00   357.01853273     -6.86492180      0.09673297       4.67138520       15.13286240      27.33728816      18.98634749      23.27177788      24.59795433      15.03163981      23.33275298      16.46584054      23.03000923      27.29288843      26.38118440      29.57097158      25.38308366      19.31889800      14.96138187      14.99008958      26.06876151      15.56989779      24.12261135      16.31264026      22.52487394      15.58945148      24.62216194      23.68046313      22.44098449      24.71121870      25.60914995      19.62940067      22.71138925     
  0.01600000       1.00000000E+01   340.20324066     -6.95402056      0.09614831       4.67665093       15.38431314      28.33211130      19.38628188      24.00401504      25.55345526      15.26579777      23.89201455      16.77203996      23.58750399      28.12027401      27.22768533      29.97079938      26.32209796      19.76667844      15.17823026      15.22115309      26.84441602      15.76902223      25.11902439      16.56997117      23.13384698      15.81613491      25.26169430      24.31909583      22.99711510      25.21668772      26.50038905      20.01551741      23.51134585     
