# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F150W     NIRCAM-F405N     NIRCAM-F323N     NIRCAM-F210M     NIRCAM-F150W2    NIRCAM-F212N     NIRCAM-F444W     NIRCAM-F322W2    NIRCAM-F356W     NIRCAM-F410M     NIRCAM-F187N     NIRCAM-F430M     NIRCAM-F277W     NIRCAM-F090W     NIRCAM-F070W     NIRCAM-F466N     NIRCAM-F300M     NIRCAM-F250M     NIRCAM-F470N     NIRCAM-F140M     NIRCAM-F115W     NIRCAM-F164N     NIRCAM-F335M     NIRCAM-F200W     NIRCAM-F460M     NIRCAM-F480M     NIRCAM-F182M     NIRCAM-F162M     NIRCAM-F360M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.01100000       1.00000000E-03   2388.22115314    -2.65817621      0.27427528       3.60343395       9.11774012       7.48448602       8.09776209       8.46078778       9.02867012       8.38895260       7.61821124       8.10702166       7.77556808       7.52485185       8.85729204       7.62584900       8.44697686       11.01115511      13.68709982      7.68280963       8.38749681       8.46478832       7.71177879       9.44418041       9.53680338       8.52954959       7.95121428       8.61461278       7.72656113       7.70315782       8.75411483       8.65577786       7.69218106      
  0.01100000       1.26638017E-03   2355.13814413    -2.74169414      0.25618509       3.66269951       9.32946696       7.66131444       8.29736241       8.65932762       9.23190814       8.58205830       7.81297303       8.30694481       7.96029913       7.70474011       9.07992922       7.82111595       8.66856595       11.25131090      13.99951479      7.89354458       8.60595645       8.68182062       7.92165273       9.67540745       9.73954929       8.71603046       8.14412033       8.82018642       7.94153501       7.91379028       8.96542259       8.84705245       7.87395290      
  0.01100000       1.60371874E-03   2316.65518219    -2.82862966      0.23954512       3.72103258       9.55034435       7.84094496       8.50301791       8.86442853       9.44294106       8.78072008       8.01444172       8.51348324       8.14890071       7.88817710       9.31386495       8.02355497       8.90136530       11.50405054      14.33362762      8.11411860       8.83419133       8.90959893       8.14203941       9.91979136       9.95034167       8.90725621       8.34213282       9.03378670       8.16764504       8.13510721       9.18603379       9.04402740       8.05925149      
  0.01100000       2.03091762E-03   2273.45077504    -2.91826584      0.22434407       3.77797858       9.77887750       8.02259046       8.71275668       9.07496832       9.66136927       8.98367218       8.22300799       8.72582777       8.34005630       8.07459759       9.55935766       8.23346332       9.14620620       11.76618571      14.68183687      8.34928123       9.07145816       9.14950453       8.37621814       10.17651758      10.16980767      9.10255780       8.54373087       9.25487575       8.40875519       8.36979466       9.41594961       9.24557984       8.24688689      
  0.01100000       2.57191381E-03   2227.12967301    -3.00922808      0.21053309       3.83316888       10.01025931      8.20424996       8.92202998       9.28767676       9.88370720       9.18798569       8.43582766       8.94025532       8.53082600       8.26185339       9.81279896       8.44775791       9.39901867       12.03244769      15.03194181      8.59620266       9.31261555       9.39850395       8.62025332       10.43991593      10.39453802      9.29895628       8.74524579       9.48019057       8.66242256       8.61437157       9.65192811       9.44840068       8.43425408      
  0.01100000       3.25702066E-03   2168.81056801    -3.10838862      0.19805250       3.88624751       10.26090419      8.39328592       9.14060361       9.51577492       10.12492238      9.40605447       8.66147097       9.16671485       8.72946994       8.45786241       10.09297790      8.67747275       9.67365184       12.33484643      15.44047031      8.86345959       9.56932301       9.67218290       8.88394876       10.73169778      10.64005958      9.50761783       8.95615487       9.72471642       8.93825134       8.87855961       9.91070053       9.66475086       8.62938959      
  0.01100000       4.12462638E-03   2095.04931372    -3.21814817      0.18705057       3.93589137       10.53724145      8.59164742       9.37362204       9.76514555       10.39282026      9.64307233       8.90230889       9.40855888       8.93947378       8.66487417       10.40965429      8.92749449       9.97516338       12.68418562      15.91490941      9.15244147       9.84513201       9.97705462       9.17150182       11.06338708      10.91746931      9.73277796       9.18243992       9.99569056       9.23903554       9.16607609       10.20095805      9.89922328       8.83510711      
  0.01100000       5.22334507E-03   2026.03111374    -3.32275288      0.17732183       3.98228483       10.80045332      8.78149661       9.59896658       10.00496727      10.65146119      9.87079326       9.13010259       9.63868914       9.14185050       8.86322479       10.71716802      9.16832219       10.26203104      13.00903256      16.33598110      9.42411180       10.10555920      10.27026748      9.44360435       11.38507711      11.18676713      9.94761230       9.40359356       10.25739515      9.52291119       9.43664493       10.48255096      10.12278854      9.03259459      
  0.01100000       6.61474064E-03   1948.67148994    -3.43360059      0.16871074       4.02552244       11.07516377      8.97805987       9.86285146       10.26125504      10.92829984      10.11324088      9.36009262       9.88692094       9.36813180       9.06747412       11.04815445      9.41618845       10.56146463      13.35749124      16.79007711      9.69763565       10.37837526      10.58229139      9.71837171       11.73208169      11.47736692      10.17119706      9.67264722       10.53838433      9.80483559       9.70716855       10.78566862      10.35581893      9.24872835      
  0.01100000       8.37677640E-03   1865.20822458    -3.54930326      0.16118086       4.06518058       11.35792823      9.17813287       10.18141254      10.52776600      11.21719540      10.36473747      9.58852661       10.15519525      9.62260321       9.27481268       11.39087134      9.66682954       10.86728470      13.70650581      17.26603998      9.96317788       10.66214798      10.90516431      9.98361524       12.09531951      11.78013356      10.40458707      10.00160075      10.83088681      10.07513970      9.96755694       11.10093402      10.59786410      9.49161924      
