# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F322W2    NIRCAM-F164N     NIRCAM-F090W     NIRCAM-F277W     NIRCAM-F162M     NIRCAM-F115W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F444W     NIRCAM-F250M     NIRCAM-F430M     NIRCAM-F323N     NIRCAM-F212N     NIRCAM-F466N     NIRCAM-F460M     NIRCAM-F200W     NIRCAM-F070W     NIRCAM-F182M     NIRCAM-F360M     NIRCAM-F405N     NIRCAM-F335M     NIRCAM-F140M     NIRCAM-F150W     NIRCAM-F187N     NIRCAM-F480M     NIRCAM-F210M     NIRCAM-F470N     NIRCAM-F356W     NIRCAM-F150W2   
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.03500000       1.00000000E-03   2835.35355687    -1.88410751      0.47441278       3.63017215       6.38318734       6.74444565       8.70649659       6.58226435       6.84181178       7.68081059       5.97261791       6.53586426       6.01115879       6.62337007       6.00579383       6.38189684       6.65034742       6.01755205       6.05257781       6.77279670       10.57643829      6.85661670       6.11158991       5.94806908       6.28336641       7.36856442       7.15986434       6.89540831       6.04254444       6.67871307       6.04935341       6.16853030       7.17104141      
  0.03500000       1.26638017E-03   2832.54731576    -1.93552589      0.44803895       3.67985315       6.51104991       6.87178634       8.83484420       6.71152463       6.96926265       7.80932368       6.09891718       6.66509862       6.13845525       6.75219515       6.13281117       6.50961831       6.77737160       6.14600920       6.18112046       6.90084770       10.70852137      6.98515090       6.23792338       6.07426298       6.41048254       7.49753072       7.28805196       7.02439962       6.17073767       6.80619184       6.17753266       6.29518464       7.29916857      
  0.03500000       1.60371874E-03   2830.78078244    -1.96638376      0.43292604       3.70965525       6.58788252       6.94813054       8.91206349       6.78926367       7.04569501       7.88648037       6.17473181       6.74282481       6.21493299       6.82965041       6.20910631       6.58637594       6.85362529       6.22325392       6.25842728       6.97774776       10.78832203      7.06234342       6.31376590       6.15000657       6.48684496       7.57500143       7.36499907       7.10191711       6.24782035       6.88273444       6.25460776       6.37123637       7.37608622      
  0.03500000       2.03091762E-03   2829.96995875    -1.98125461      0.42583298       3.72400394       6.62484570       6.98478718       8.94916987       6.82666991       7.08239927       7.92355920       6.21119871       6.78022842       6.25173491       6.86691391       6.24581569       6.62330877       6.89027932       6.26044221       6.29564834       7.01471191       10.82668218      7.09944295       6.35024488       6.18643793       6.52358255       7.61222668       7.40196250       7.13918435       6.28493008       6.91952868       6.29171322       6.40781888       7.41304739      
  0.03500000       2.57191381E-03   2829.37104493    -1.99092033      0.42128889       3.73332227       6.64892511       7.00867947       8.97342358       6.85105412       7.10632496       7.94773308       6.23493397       6.80460773       6.27569522       6.89120446       6.26971480       6.64736647       6.91416320       6.28466101       6.31989029       7.03880926       10.85186303      7.12363479       6.37399199       6.21014871       6.54750708       7.63651609       7.42607127       7.16349159       6.30909778       6.94350834       6.31587903       6.43163624       7.43714470      
  0.03500000       3.25702066E-03   2828.67247905    -2.00316683      0.41560660       3.74511766       6.67935044       7.03882187       9.00400379       6.88186003       7.13651122       7.97824564       6.26493172       6.83541097       6.30598289       6.92188909       6.29992287       6.67776869       6.94432144       6.31528152       6.35054094       7.06923084       10.88356473      7.15416953       6.40400187       6.24011544       6.57774127       7.66716156       7.45648805       7.19417531       6.33965349       6.97378600       6.34643151       6.46173503       7.46755888      
  0.03500000       4.12462638E-03   2827.43062815    -2.02256223      0.40677556       3.76377308       6.72761512       7.08664677       9.05266823       6.93076251       7.18441175       8.02667844       6.31247474       6.88430358       6.35400316       6.97059648       6.34781392       6.72599440       6.99216747       6.36384724       6.39915888       7.11751744       10.93423418      7.20264707       6.45157188       6.28760626       6.62568718       7.71584505       7.50478590       7.24290426       6.38811659       7.02183068       6.39489096       6.50945239       7.51583505      
  0.03500000       5.22334507E-03   2825.00322357    -2.05896839      0.39075447       3.79867446       6.81804934       7.17613730       9.14397336       7.02244751       7.27406147       8.11739323       6.40149011       6.97596887       6.44396485       7.06190215       6.43752066       6.81636453       7.08176889       6.45488502       6.49030657       7.20797192       11.02961118      7.29346411       6.54064532       6.37651748       6.71550655       7.80707349       7.59524306       7.33423277       6.47896215       7.11181841       6.48572953       6.59881525       7.60625068      
  0.03500000       6.61474064E-03   2817.73659070    -2.15186983      0.35292152       3.88712601       7.04855438       7.40368459       9.37796919       7.25656534       7.50213134       8.34856038       6.62785828       7.21000511       6.67307854       7.29497267       6.66591042       7.04674828       7.30994545       6.68708471       6.72286398       7.43855965       11.27654917      7.52505022       6.76723598       6.60257516       6.94429616       8.03997215       7.82582912       7.56739330       6.71067206       7.34108986       6.71741793       6.82623682       7.83664086      
  0.03500000       8.37677640E-03   2799.19876897    -2.31287349      0.29711110       4.03664726       7.44550362       7.79394190       9.78776980       7.66183758       7.89383558       8.74670814       7.01507902       7.61492807       7.06643526       7.69806317       7.05778406       7.44362766       7.70245080       7.08724323       7.12389695       7.83646466       11.72143992      7.92516276       7.15528799       6.98904384       7.33754274       8.44374946       8.22403211       7.97146007       7.10991139       7.73602670       7.11653414       7.21614181       8.23372799      
