# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRISS-F277W     NIRISS-F200W     NIRISS-F115W     NIRISS-F140M     NIRISS-F480M     NIRISS-F158M     NIRISS-F090W     NIRISS-F356W     NIRISS-F380M     NIRISS-F150W     NIRISS-F444W     NIRISS-F430M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.03500000       1.00000000E-03   2835.35355687    -1.88410751      0.47441278       3.63017215       6.58954375       6.76630029       7.69600441       7.36972172       6.04783026       6.97154501       8.70068500       6.16649591       5.99543637       7.17591771       6.01161300       6.01136367      
  0.03500000       1.26638017E-03   2832.54731576    -1.93552589      0.44803895       3.67985315       6.71874432       6.89431016       7.82454314       7.49869232       6.17602037       7.09916722       8.82903621       6.29314441       6.12144340       7.30415818       6.13890401       6.13839173      
  0.03500000       1.60371874E-03   2830.78078244    -1.96638376      0.43292604       3.70965525       6.79644382       6.97118326       7.90171697       7.57616572       6.25310152       7.17572953       8.90625635       6.36919212       6.19706085       7.38114051       6.21537813       6.21469444      
  0.03500000       2.03091762E-03   2829.96995875    -1.98125461      0.42583298       3.72400394       6.83383019       7.00813418       7.93880415       7.61339229       6.29021053       7.21250020       8.94336312       6.40577268       6.23342708       7.41812163       6.25217821       6.25140764      
  0.03500000       2.57191381E-03   2829.37104493    -1.99092033      0.42128889       3.73332227       6.85820112       7.03222237       7.96298402       7.63768257       6.31437792       7.23647491       8.96761664       6.42958863       6.25709496       7.44224241       6.27613730       6.27530944      
  0.03500000       3.25702066E-03   2828.67247905    -2.00316683      0.41560660       3.74511766       6.88898996       7.06263252       7.99350392       7.66832916       6.34493319       7.26672236       8.99819684       6.45968570       6.28700521       7.47267454       6.30642338       6.30552092      
  0.03500000       4.12462638E-03   2827.43062815    -2.02256223      0.40677556       3.76377308       6.93786448       7.11089983       8.04194947       7.71701447       6.39339592       7.31473255       9.04686036       6.50740005       6.33440445       7.52099791       6.35444103       6.35341782      
  0.03500000       5.22334507E-03   2825.00322357    -2.05896839      0.39075447       3.79867446       7.02949456       7.20131624       8.13268980       7.80824641       6.48424129       7.40461151       9.13816259       6.59675689       6.42313310       7.61150583       6.44439753       6.44313644      
  0.03500000       6.61474064E-03   2817.73659070    -2.15186983      0.35292152       3.88712601       7.26345617       7.43179204       8.36393501       8.04115468       6.71595429       7.63344210       9.37214117       6.82416000       6.64866180       7.84224115       6.67349604       6.67156324      
  0.03500000       8.37677640E-03   2799.19876897    -2.31287349      0.29711110       4.03664726       7.66838681       7.82943023       8.76227829       8.44494935       7.11520619       8.02731386       9.78185895       7.21401620       7.03397398       8.24078678       7.06681781       7.06353585      
  0.03500000       1.06081836E-02   2764.75287140    -2.45385804      0.25892647       4.15613036       8.01999914       8.17347609       9.10577962       8.80101992       7.45552347       8.36779602       10.15345885      7.54281691       7.35577430       8.58865864       7.39923633       7.39460799      
  0.03500000       1.34339933E-02   2737.32148204    -2.57011657      0.23105774       4.25504209       8.31275176       8.45758030       9.38844246       9.09509707       7.73993106       8.64690569       10.46043796      7.81467948       7.62117007       8.87481137       7.67546599       7.66943104      
  0.03500000       1.70125428E-02   2695.94479727    -2.68389069      0.20895558       4.34237698       8.59939382       8.73282581       9.66142987       9.38643760       8.01306584       8.91611082       10.77234097      8.07046304       7.86788043       9.15435399       7.93708933       7.92955714      
  0.03500000       2.15443469E-02   2653.68837461    -2.78953227      0.19096367       4.42058103       8.86830261       8.98802848       9.91383292       9.65960148       8.26876223       9.16412348       11.06684749      8.30505643       8.09280271       9.41399530       8.17920464       8.17011563      
  0.03500000       2.72833338E-02   2603.38300229    -2.89445770      0.17584081       4.49224488       9.13938723       9.24058822       10.16405539      9.93545409       8.52429298       9.40717435       11.36740975      8.53153004       8.30768050       9.67193090       8.41652780       8.40575438      
  0.03500000       3.45510729E-02   2540.69331989    -3.00259109      0.16301558       4.55802668       9.42562192       9.50032913       10.42173082      10.22682671      8.79251706       9.65365887       11.68698988      8.75652884       8.51788722       9.93841487       8.65832527       8.64515414      
  0.03500000       4.37547938E-02   2471.47935680    -3.11090647      0.15207449       4.61837187       9.72357596       9.76164866       10.68301905      10.52688544      9.07366710       9.89615919       12.01092394      8.97563649       8.72031449       10.20564678      8.90241406       8.88702965      
