# Mass             Age              Teff             Luminosity       Radius           Gravity          MKO_Y            MKO_J            MKO_H            MKO_K            MKO_Lp           MKO_Mp           W1               W2               W3               W4               IRAC_CH1         IRAC_CH2        
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.06500000       1.00000000E-03   3013.56109153    -1.42348943      0.71370942       3.54428511       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       1.26638017E-03   3013.29399095    -1.43465288      0.70471112       3.55530564       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       1.60371874E-03   3013.07540201    -1.44628153      0.69543502       3.56681481       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       2.03091762E-03   3012.93664796    -1.46364145      0.68175668       3.58406910       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       2.57191381E-03   3012.93664796    -1.49477468      0.65775363       3.61520140       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       3.25702066E-03   3013.97745914    -1.56874828      0.60361987       3.68980055       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       4.12462638E-03   3016.22470126    -1.71309058      0.51045411       3.83541712       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       5.22334507E-03   3019.35610301    -1.83506728      0.44265036       3.95920787       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       6.61474064E-03   3014.80552636    -1.94341207      0.39193006       4.06491352       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       8.37677640E-03   3005.75099116    -2.04243566      0.35180245       4.15873280       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06500000       1.06081836E-02   2997.41637742    -2.13348812      0.31855886       4.24494990       8.69690931       8.09071356       7.54117118       7.22136715       6.79690876       6.81397172       7.02544940       6.78908390       6.59898032       6.47338926       6.90545118       6.78187043      
  0.06500000       1.34339933E-02   2988.16905508    -2.21984220      0.29019735       4.32594364       8.91391056       8.30380285       7.75411464       7.43347457       7.00579270       7.02799745       7.23678536       7.00158558       6.80895126       6.68527455       7.11526475       6.99402222      
  0.06500000       1.70125428E-02   2978.58027377    -2.30245729      0.26557168       4.40296624       9.12135977       8.50696739       7.95686177       7.63568733       7.20488618       7.23283987       7.43863450       7.20471537       7.00952684       6.88788393       7.31542354       7.19675363      
  0.06500000       2.15443469E-02   2966.82963083    -2.38356661      0.24380869       4.47723188       9.32491570       8.70524923       8.15482919       7.83305098       7.39859889       7.43324373       7.63572327       7.40311256       7.20488574       7.08545013       7.51046619       7.39467313      
  0.06500000       2.72833338E-02   2946.12926872    -2.46773462      0.22441576       4.54922370       9.53520310       8.90724985       8.35780311       8.03397889       7.59316648       7.63622624       7.83546054       7.60352125       7.40023559       7.28323077       7.70711937       7.59444228      
  0.06500000       3.45510729E-02   2930.27405455    -2.54622967      0.20725143       4.61833446       9.73171306       9.09659401       8.54729402       8.22259600       7.77700752       7.82856894       8.02380885       7.79329271       7.58594813       7.47146150       7.89276551       7.78358778      
  0.06500000       4.37547938E-02   2907.45568138    -2.62743209      0.19172268       4.68598071       9.93467973       9.28972201       8.74133302       8.41481116       7.96226570       8.02407756       8.21507821       7.98569096       7.77257734       7.66077426       8.08044498       7.97519886      
  0.06500000       5.54102033E-02   2875.05721619    -2.71253969      0.17777302       4.75159774       10.14745689      9.48803524       8.94111283       8.61193316       8.14943249       8.22541515       8.41077836       8.18289382       7.96128595       7.85263983       8.27103837       8.17123974      
