# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F200W     NIRCAM-F210M     NIRCAM-F187N     NIRCAM-F182M     NIRCAM-F212N    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00600000       1.00000000E-03   2009.36667196    -3.14854462      0.22031339       3.53048641       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00600000       1.26638017E-03   1942.97069547    -3.25648932      0.20808552       3.58008233       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00600000       1.60371874E-03   1879.27897647    -3.36090132      0.19723636       3.62659300       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00600000       2.03091762E-03   1820.37497246    -3.46086012      0.18735920       3.67121782       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00600000       2.57191381E-03   1728.57908512    -3.59230062      0.17860600       3.71277576       10.92427575      10.62367490      11.64493067      11.37631208      10.42667264     
  0.00600000       3.25702066E-03   1646.77370728    -3.71375371      0.17111156       3.75000892       11.24305390      10.91502324      12.04058767      11.74241195      10.70204861     
  0.00600000       4.12462638E-03   1570.93379368    -3.83029925      0.16442331       3.78464058       11.55350946      11.20154958      12.41965276      12.09350823      10.97499930     
  0.00600000       5.22334507E-03   1495.21078300    -3.94848063      0.15841106       3.81699666       11.88356053      11.50790493      12.81848005      12.46217007      11.26849496     
  0.00600000       6.61474064E-03   1400.91255458    -4.09083825      0.15317541       3.84618847       12.29877863      11.89563871      13.30899472      12.91586243      11.64264649     
  0.00600000       8.37677640E-03   1325.30324587    -4.21362992      0.14858762       3.87260147       12.68376337      12.26034342      13.73505050      13.31543413      11.99898040     
  0.00600000       1.06081836E-02   1249.69507718    -4.34007745      0.14447007       3.89701021       13.08289822      12.64417789      14.14971307      13.71616459      12.38160545     
  0.00600000       1.34339933E-02   1175.61129250    -4.46857909      0.14080539       3.91932848       13.48871644      13.03670170      14.55585294      14.11961885      12.77600909     
  0.00600000       1.70125428E-02   1104.98893115    -4.59670162      0.13752311       3.93981561       13.88705140      13.42402858      14.93359915      14.52262062      13.16908740     
  0.00600000       2.15443469E-02   1040.90890156    -4.71943573      0.13455279       3.95878129       14.24181100      13.76480987      15.29404833      14.90448980      13.51476625     
  0.00600000       2.72833338E-02   977.12793269     -4.84686961      0.13185682       3.97636110       14.63430290      14.13987740      15.70649481      15.33985313      13.89691938     
  0.00600000       3.45510729E-02   915.92288642     -4.97545024      0.12941679       3.99258439       15.04303426      14.52562054      16.16259178      15.81835678      14.28994266     
  0.00600000       4.37547938E-02   855.67328459     -5.10847951      0.12722758       4.00740350       15.44323414      14.90246829      16.62405721      16.30053329      14.67243074     
  0.00600000       5.54102033E-02   796.53333001     -5.24638550      0.12526662       4.02089552       15.87295684      15.30898685      17.12458238      16.82284754      15.08681645     
  0.00600000       7.01703829E-02   744.31545140     -5.37656452      0.12348886       4.03331013       16.31963330      15.73277289      17.65616291      17.37350744      15.52078133     
  0.00600000       8.88623816E-02   693.27406365     -5.51136303      0.12188490       4.04466625       16.79545307      16.18507404      18.22623353      17.96604722      15.98428554     
  0.00600000       1.12533558E-01   645.97137212     -5.64456752      0.12042922       4.05510218       17.30205927      16.67070993      18.82475773      18.59241574      16.47766772     
  0.00600000       1.42510267E-01   601.04970801     -5.77931643      0.11911222       4.06465301       17.89930842      17.24862236      19.52859662      19.31489746      17.06256981     
  0.00600000       1.80472177E-01   565.62590923     -5.89384011      0.11788206       4.07367006       18.46134361      17.79540475      20.19537986      19.98590665      17.61656405     
  0.00600000       2.28546386E-01   530.30431038     -6.01448189      0.11671847       4.08228650       19.08288424      18.40289508      20.92266287      20.71748791      18.22898545     
  0.00600000       2.89426612E-01   495.53583736     -6.14041225      0.11563012       4.09042361       19.83660868      19.14437876      21.77787650      21.58023934      18.97414401     
