# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F322W2    NIRCAM-F164N     NIRCAM-F090W     NIRCAM-F277W     NIRCAM-F162M     NIRCAM-F115W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F444W     NIRCAM-F250M     NIRCAM-F430M     NIRCAM-F323N     NIRCAM-F212N     NIRCAM-F466N     NIRCAM-F460M     NIRCAM-F200W     NIRCAM-F070W     NIRCAM-F182M     NIRCAM-F360M     NIRCAM-F405N     NIRCAM-F335M     NIRCAM-F140M     NIRCAM-F150W     NIRCAM-F187N     NIRCAM-F480M     NIRCAM-F210M     NIRCAM-F470N     NIRCAM-F356W     NIRCAM-F150W2   
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00400000       1.00000000E-03   1692.58907953    -3.54117917      0.19757568       3.44900878       9.96199141       10.36653926      13.85981725      10.90036432      10.58611103      11.79919348      9.09710243       10.62071467      9.44860585       10.89450289      9.63008142       9.92196968       10.28761594      9.81531805       9.96029967       10.81498535      17.42152276      11.14959029      9.23569099       8.96462743       9.68036982       12.35427524      11.45705773      11.50791292      9.82070507       10.46765888      9.85298819       9.35419699       11.21807841     
  0.00400000       1.26638017E-03   1631.79667616    -3.64470778      0.18868392       3.48900645       10.18228796      10.58808655      14.12926318      11.19481577      10.81369442      12.07374054      9.30623899       10.87744403      9.68134222       11.20336493      9.90238216       10.14261455      10.52441703      10.09252414      10.24899207      11.08932421      17.84997314      11.45047717      9.42797363       9.17012604       9.90236897       12.69720700      11.71498016      11.84146342      10.08741825      10.71693154      10.13460386      9.55147439       11.48496941     
  0.00400000       1.60371874E-03   1561.66838931    -3.75892351      0.18063126       3.52689069       10.42259190      10.82780416      14.42022646      11.51437386      11.06060813      12.37087655      9.53642549       11.15566445      9.93373987       11.54327451      10.20643008      10.39524738      10.78907745      10.39036774      10.55997923      11.39488890      18.40531538      11.78390191      9.63933787       9.40160497       10.16023101      13.07772722      11.99253861      12.21325123      10.37170782      10.99529946      10.43895410      9.76967672       11.77810144     
  0.00400000       2.03091762E-03   1486.33402369    -3.87981813      0.17349461       3.56190260       10.68462624      11.08292758      14.71760955      11.85658099      11.32465574      12.67247517      9.78251340       11.45522862      10.20066328      11.91072867      10.53197573      10.68789803      11.08079532      10.70249095      10.88687177      11.72955953      19.09000225      12.14643222      9.87325736       9.65578022       10.46466561      13.49191816      12.28690259      12.62047972      10.66883310      11.30140949      10.75862989      10.01107556      12.09050922     
  0.00400000       2.57191381E-03   1410.60594087    -4.00288409      0.16717588       3.59412708       10.96917185      11.35393732      15.03591022      12.20949099      11.60376697      12.96288951      10.03695345      11.76828012      10.47269524      12.29535059      10.85786332      11.03425313      11.39640922      11.01723159      11.21678380      12.08561852      19.89162888      12.52521365      10.13827803      9.92597468       10.82697585      13.91981500      12.58977158      13.04493675      10.96829527      11.63039812      11.08277223      10.27998708      12.41338600     
  0.00400000       3.25702066E-03   1334.80637166    -4.12836913      0.16158946       3.62365034       11.29249889      11.65441416      15.37694605      12.57819872      11.90373970      13.25008454      10.30219118      12.10235992      10.75185557      12.70510431      11.18535017      11.48282756      11.74162584      11.33661757      11.55241769      12.46778676      20.76739006      12.92066741      10.46156087      10.21018714      11.28432070      14.36014349      12.90440005      13.48665384      11.27111518      11.98744632      11.41403328      10.59469610      12.75174236     
  0.00400000       4.12462638E-03   1265.45906544    -4.24818870      0.15661841       3.65079074       11.62392646      11.95794471      15.70710693      12.92832852      12.20348222      13.50142805      10.55773490      12.42549134      11.01689031      13.10245309      11.47949644      11.98217593      12.08655527      11.63712562      11.86973409      12.84123340      21.59124150      13.29775321      10.81067816      10.48051434      11.77660666      14.76111842      13.20528679      13.90112700      11.55627291      12.34066785      11.72922037      10.92423317      13.07283858     
  0.00400000       5.22334507E-03   1197.89061686    -4.36892495      0.15210051       3.67621381       11.97343319      12.27141739      16.04011756      13.27445209      12.51345141      13.72616717      10.81492002      12.74831216      11.28005419      13.50596846      11.75630566      12.52567457      12.44645169      11.93290170      12.18310073      13.22188438      22.35892414      13.67350190      11.19464621      10.74236325      12.30532272      15.13410182      13.50272199      14.30602201      11.83594289      12.70511808      12.04142271      11.27723495      13.38797099     
  0.00400000       6.61474064E-03   1131.55936827    -4.49150690      0.14802280       3.69981890       12.34799408      12.65623121      16.39743934      13.62191703      12.87231065      13.95191052      11.08793608      13.07020735      11.55263244      13.93101884      12.02353552      13.07737750      12.82407514      12.23007441      12.49963819      13.61569376      23.05695640      14.06411429      11.61815585      11.00653344      12.86248012      15.50200467      13.82875902      14.70313051      12.11352193      13.08438938      12.35733953      11.66155870      13.71583893     
  0.00400000       8.37677640E-03   1067.61786395    -4.61435112      0.14435229       3.72162869       12.72315983      13.11835723      16.77169234      13.95203207      13.27815600      14.19212150      11.36063491      13.37543899      11.81898454      14.35151545      12.25705919      13.64759783      13.19601034      12.51270114      12.80377900      13.99897201      23.66669052      14.45914475      12.04126037      11.25793763      13.40118008      15.86580391      14.18376996      15.07489210      12.37595957      13.45428783      12.66167714      12.05177534      14.05360613     
  0.00400000       1.06081836E-02   1005.91822821    -4.73801280      0.14102619       3.74187621       13.11189778      13.62771379      17.14840762      14.29741237      13.70645940      14.44565750      11.64390859      13.69270099      12.09483140      14.80317442      12.48950061      14.25930147      13.58809796      12.81143335      13.12774473      14.39991629      24.23972328      14.87908920      12.47923551      11.51275096      13.95922466      16.23796233      14.55358363      15.46186211      12.64873702      13.84138076      12.98796417      12.45428879      14.40363386     
  0.00400000       1.34339933E-02   946.96762981     -4.86170624      0.13800856       3.76066286       13.48511471      14.20762964      17.54660302      14.64197860      14.15782787      14.72155103      11.91885134      14.00710349      12.36133570      15.25941620      12.71993589      14.85777676      13.96616037      13.09706984      13.44083813      14.79004496      24.70340970      15.31859878      12.89932765      11.74581985      14.49739338      16.63043254      14.94268402      15.84751059      12.90766422      14.21304813      13.30632267      12.83910101      14.76133928     
  0.00400000       1.70125428E-02   888.14116296     -4.99048539      0.13527784       3.77802144       13.87490561      14.83049264      17.95618043      15.01817985      14.61936620      15.03004535      12.20752442      14.34692957      12.64135785      15.75379738      12.97209804      15.45327417      14.35927574      13.40262764      13.77921123      15.20327710      25.16560839      15.80518784      13.33235321      11.99756457      15.05104812      17.07447963      15.34838656      16.27837362      13.17949146      14.60022175      13.65211298      13.23666654      15.14303915     
  0.00400000       2.15443469E-02   832.74739407     -5.11838451      0.13280811       3.79402603       14.23406954      15.43720321      18.35494984      15.36362276      15.04144550      15.35928548      12.47838932      14.65813111      12.89884209      16.20700046      13.19431885      15.97127766      14.72809030      13.67782287      14.08897231      15.59418149      25.58337359      16.28771668      13.72193573      12.23953800      15.53224958      17.52321873      15.72798020      16.69569563      13.41889605      14.96348673      13.97137539      13.60378051      15.51641170     
  0.00400000       2.72833338E-02   779.72054908     -5.24734081      0.13058147       3.80871169       14.58832281      16.04872950      18.76361229      15.72940007      15.44714912      15.69822678      12.74783893      14.98645008      13.15610956      16.68496374      13.42694203      16.50156341      15.12874995      13.96049619      14.40867158      16.01473048      25.97605481      16.80629381      14.10083647      12.47913807      16.01369593      17.99925091      16.10486086      17.16085142      13.66167176      15.35621647      14.30587941      13.96023216      15.89772352     
  0.00400000       3.45510729E-02   729.61969568     -5.37634004      0.12855030       3.82232857       14.94683701      16.69173180      19.18767667      16.12262385      15.84446393      16.05251656      13.02166287      15.33955272      13.41718101      17.19592097      13.66978962      17.05858558      15.56192418      14.25158196      14.74053841      16.46764237      26.34864305      17.37307142      14.47993009      12.72593189      16.50939289      18.51767355      16.48814792      17.68027677      13.90690657      15.77902187      14.65792919      14.31572367      16.29264529     
  0.00400000       4.37547938E-02   680.09427064     -5.51098665      0.12670848       3.83486341       15.31767607      17.39429286      19.64728707      16.53599782      16.25415309      16.43241217      13.30497326      15.71295122      13.68602144      17.73172364      13.91604648      17.65106978      16.02438731      14.55315688      15.08827953      16.95176148      26.71602895      17.98732405      14.87085358      12.98293705      17.02950432      19.08469974      16.89307210      18.23954135      14.15823419      16.23187888      15.03150424      14.68191652      16.71209287     
  0.00400000       5.54102033E-02   632.19649688     -5.64928946      0.12505070       3.84630230       15.70990686      18.17964812      20.17007674      16.98375419      16.69642806      16.85253909      13.60253782      16.12292237      13.95731014      18.30656481      14.14492171      18.29560836      16.54400386      14.83349458      15.41275890      17.49391039      27.06660551      18.67587248      15.28430157      13.26751559      17.58393636      19.72679225      17.34348308      18.86955186      14.39297509      16.74382544      15.38732964      15.06719112      17.17294511     
  0.00400000       7.01703829E-02   589.90834173     -5.77994787      0.12356314       3.85669659       16.10071632      18.96154892      20.70947525      17.44805498      17.14304943      17.27908482      13.89700980      16.55218229      14.21319935      18.90007791      14.36027990      18.95151119      17.11465582      15.07066871      15.67743435      18.08168925      27.41334873      19.40037247      15.69752929      13.55836853      18.13433895      20.38740673      17.80488744      19.55574505      14.59372736      17.30511334      15.68460639      15.44954559      17.64268572     
  0.00400000       8.88623816E-02   555.92552344     -5.89293719      0.12215905       3.86662323       16.45314987      19.65759679      21.19608225      17.86868435      17.53834340      17.65815310      14.16653780      16.94460331      14.44527627      19.43661286      14.56075559      19.55044506      17.64198626      15.26877001      15.90003896      18.61949951      27.69995610      20.06336871      16.07137039      13.81602199      18.62760990      20.98546504      18.21760998      20.19231413      14.77028546      17.82176158      15.93379877      15.79461173      18.06098506     
