# Mass             Age              Teff             Luminosity       Radius           Gravity          MIRI-F1065C      MIRI-F1140C      MIRI-F1550C      MIRI-F2300C     
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.04200000       1.00000000E-03   2890.82738980    -1.75808625      0.52763834       3.61699195       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       1.26638017E-03   2889.63016205    -1.79312991      0.50719969       3.65130634       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       1.60371874E-03   2888.99815147    -1.81052282      0.49735769       3.66832649       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       2.03091762E-03   2888.61419821    -1.82061535      0.49173890       3.67819448       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       2.57191381E-03   2888.15391378    -1.83239527      0.48526921       3.68969810       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       3.25702066E-03   2887.45049084    -1.85057528      0.47545316       3.70744852       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       4.12462638E-03   2886.03535773    -1.88392667      0.45798261       3.73996568       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       5.22334507E-03   2882.54153258    -1.96612479      0.41764772       3.82004343       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       6.61474064E-03   2874.52024902    -2.12058895      0.35156212       3.96966204       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       8.37677640E-03   2857.98077309    -2.25332558      0.30524518       4.09236689       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       1.06081836E-02   2837.54515814    -2.36884675      0.27109126       4.19543537       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       1.34339933E-02   2813.23252039    -2.47484913      0.24411178       4.28648919       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       1.70125428E-02   2792.51998710    -2.57011453      0.22201131       4.36891423       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       2.15443469E-02   2755.95827699    -2.66976678      0.20323077       4.44568725       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       2.72833338E-02   2720.67421875    -2.76358536      0.18718730       4.51711229       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       3.45510729E-02   2675.39992144    -2.86006515      0.17322587       4.58444030       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       4.37547938E-02   2621.85690881    -2.95845462      0.16105497       4.64771653       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       5.54102033E-02   2560.31938731    -3.05920344      0.15039612       4.70719224       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       7.01703829E-02   2490.31994070    -3.16317329      0.14103564       4.76300608       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       8.88623816E-02   2411.25483882    -3.27202300      0.13271417       4.81582989       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       1.12533558E-01   2318.85903787    -3.38855579      0.12548569       4.86447544       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       1.42510267E-01   2209.16824790    -3.51695578      0.11925840       4.90868735       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       1.80472177E-01   2103.30758891    -3.64177043      0.11395355       4.94820937       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       2.28546386E-01   1986.16892236    -3.77667554      0.10941051       4.98354719       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       2.89426612E-01   1868.67678589    -3.91421493      0.10550049       5.01515487       0.00000000       0.00000000       0.00000000       0.00000000      
  0.04200000       3.66524124E-01   1749.00330563    -4.05703617      0.10217087       5.04301054       9.97022113       9.93782024       10.06556422      10.05908085     
  0.04200000       4.64158883E-01   1635.70638544    -4.19783971      0.09933374       5.06747082       10.14987256      10.08982900      10.21677069      10.21264346     
  0.04200000       5.87801607E-01   1527.33478691    -4.33875949      0.09686922       5.08929256       10.33451243      10.24207519      10.36566735      10.36331727     
  0.04200000       7.44380301E-01   1434.05637271    -4.46794333      0.09469586       5.10900195       10.51546707      10.38911356      10.50737933      10.50725079     
  0.04200000       9.42668455E-01   1332.80553669    -4.61300538      0.09276768       5.12687057       10.71825254      10.55012175      10.65721163      10.66029899     
  0.04200000       1.19377664E+00   1247.61115664    -4.74366045      0.09108370       5.14278239       10.90868825      10.69968179      10.79282297      10.79983006     
  0.04200000       1.51177507E+00   1153.33388437    -4.89490102      0.08955182       5.15751480       11.13517940      10.87471046      10.94434938      10.95507965     
  0.04200000       1.91448198E+00   1064.10699658    -5.04721273      0.08827746       5.16996391       11.36641912      11.05242978      11.09234660      11.10593812     
  0.04200000       2.42446202E+00   990.45309705     -5.18316315      0.08713121       5.18131606       11.59021868      11.22488594      11.23090652      11.24389467     
  0.04200000       3.07029063E+00   912.96009726     -5.33503672      0.08609837       5.19167371       11.84840954      11.42306880      11.38514426      11.39447436     
  0.04200000       3.88815518E+00   846.69097259     -5.47499700      0.08520889       5.20069374       12.10322799      11.61858549      11.53456301      11.53629360     
  0.04200000       4.92388263E+00   791.65612748     -5.59977499      0.08442370       5.20873474       12.34173320      11.80319258      11.67377114      11.66369189     
  0.04200000       6.23550734E+00   745.38856410     -5.71182437      0.08370277       5.21618385       12.56810643      11.97842740      11.80670775      11.78041461     
  0.04200000       7.89652287E+00   703.04826771     -5.82037628      0.08303580       5.22313278       12.79292986      12.15224542      11.93632343      11.89257557     
  0.04200000       1.00000000E+01   667.79447379     -5.91641938      0.08239958       5.22981353       12.99806528      12.31143419      12.05388645      11.99284380     
