# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F200W     NIRCAM-F210M     NIRCAM-F187N     NIRCAM-F182M     NIRCAM-F212N    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00100000       1.00000000E-03   865.42799351     -4.81854079      0.17365881       2.95902313       14.60041863      14.08359547      15.71594089      15.37163918      13.80804689     
  0.00100000       1.26638017E-03   829.69605935     -4.91881960      0.16833265       2.98607805       14.91278594      14.38452075      16.03632828      15.72775328      14.11951289     
  0.00100000       1.60371874E-03   791.89359273     -5.02588386      0.16336695       3.01208774       15.24501113      14.70326679      16.38542625      16.11696762      14.45061271     
  0.00100000       2.03091762E-03   749.86563713     -5.14501282      0.15884219       3.03648459       15.61850748      15.06001683      16.78883305      16.56828968      14.82179297     
  0.00100000       2.57191381E-03   708.16856041     -5.26703327      0.15475566       3.05912220       16.01324464      15.43681114      17.22738281      17.05253349      15.21541364     
  0.00100000       3.25702066E-03   669.57290720     -5.38547139      0.15104341       3.08021235       16.41594185      15.82232147      17.68692848      17.54542241      15.62023644     
  0.00100000       4.12462638E-03   631.32207116     -5.50738911      0.14764810       3.09995943       16.85607617      16.24484141      18.19964658      18.08344160      16.06477818     
  0.00100000       5.22334507E-03   594.83556078     -5.62911347      0.14456944       3.11826280       17.36320209      16.73398022      18.79407629      18.69855101      16.57875952     
  0.00100000       6.61474064E-03   565.04774105     -5.73590495      0.14167681       3.13581724       17.85183755      17.20711884      19.36908488      19.28834980      17.07399188     
  0.00100000       8.37677640E-03   534.56688534     -5.84907425      0.13896059       3.15263154       18.34705463      17.68772995      19.96012021      19.89016899      17.57301811     
  0.00100000       1.06081836E-02   503.75350709     -5.96813753      0.13643706       3.16855040       18.88167320      18.20724511      20.61016561      20.54589540      18.11106124     
  0.00100000       1.34339933E-02   475.31987199     -6.08417855      0.13408046       3.18368382       19.48322366      18.79635770      21.31824018      21.26017632      18.71308988     
  0.00100000       1.70125428E-02   447.83871629     -6.20196113      0.13188460       3.19802625       20.18510239      19.48631162      22.15563884      22.08479420      19.41225677     
  0.00100000       2.15443469E-02   425.11567308     -6.30634546      0.12978918       3.21193784       20.85340560      20.14505080      22.93911996      22.86109005      20.07758833     
  0.00100000       2.72833338E-02   402.51025340     -6.41478244      0.12778669       3.22544345       21.65655638      20.94024302      23.84778816      23.76390233      20.86867397     
  0.00100000       3.45510729E-02   385.91578253     -6.50142185      0.12581440       3.23895396       22.26976441      21.54790850      24.53559783      24.44855719      21.46731907     
  0.00100000       4.37547938E-02   369.04705714     -6.59279962      0.12384143       3.25268274       23.03041963      22.30419607      25.36424762      25.26916393      22.21806299     
  0.00100000       5.54102033E-02   351.38956346     -6.69166967      0.12190148       3.26639663       23.97948250      23.24749554      26.40273459      26.30230253      23.14805242     
  0.00100000       7.01703829E-02   338.06217823     -6.77255577      0.11999113       3.28011613       24.74829740      24.01380808      27.20720350      27.11046570      23.90282021     
  0.00100000       8.88623816E-02   324.07038190     -6.86002714      0.11806652       3.29416106       25.58340590      24.84471981      28.11564899      27.99857636      24.72567909     
  0.00100000       1.12533558E-01   309.42394319     -6.95448344      0.11616531       3.30826162       26.59207178      25.85072152      29.16007550      29.04637167      25.72600521     
  0.00100000       1.42510267E-01   295.12536590     -7.05056180      0.11432382       3.32214153       27.59961426      26.85501911      30.20222018      30.09822885      26.72513371     
  0.00100000       1.80472177E-01   281.63817729     -7.14549695      0.11253677       3.33582577       28.70550834      27.95903072      31.35791790      31.23818118      27.83784605     
  0.00100000       2.28546386E-01   267.22079415     -7.25026428      0.11080247       3.34931538       30.02928610      29.28124302      32.74117488      32.59795664      29.18087783     
  0.00100000       2.89426612E-01   252.19008970     -7.36387453      0.10915377       3.36233692       31.55115754      30.80306814      34.34850757      34.12834151      30.73138061     
  0.00100000       3.66524124E-01   241.54334778     -7.45159319      0.10755800       3.37512903       32.71807948      31.96889712      35.60145480      35.30167774      31.90720206     
  0.00100000       4.64158883E-01   230.54403979     -7.54551782      0.10596379       3.38809953       33.97990012      33.22806073      36.97502763      36.57353371      33.17647864     
  0.00100000       5.87801607E-01   218.50963891     -7.65146507      0.10441299       3.40090535       35.43531748      34.68000917      38.58194087      38.03557711      34.63630681     
  0.00100000       7.44380301E-01   205.57878638     -7.76977792      0.10294057       3.41324131       37.07538591      36.31439851      40.41093182      39.68566920      36.27391463     
