# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRISS-F480M     NIRISS-F277W     NIRISS-F430M     NIRISS-F380M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00050000       1.00000000E-03   598.31821926     -5.44534603      0.17655689       2.64361673       14.22307792      16.28131458      14.22965328      13.39833946     
  0.00050000       1.26638017E-03   573.58170683     -5.54359364      0.17156841       2.66850978       14.46619362      16.61548121      14.46712878      13.71760335     
  0.00050000       1.60371874E-03   548.47255472     -5.64556990      0.16685346       2.69271568       14.70068975      16.95702297      14.69217066      14.04248014     
  0.00050000       2.03091762E-03   523.77650221     -5.74912343      0.16239988       2.71621520       14.93395521      17.30949244      14.92329364      14.36846806     
  0.00050000       2.57191381E-03   498.83091454     -5.85651383      0.15822252       2.73884800       15.11547862      17.67667498      15.12942465      14.72851537     
  0.00050000       3.25702066E-03   476.09368684     -5.95951318      0.15426862       2.76082974       15.28041701      18.04630753      15.31950470      15.10716152     
  0.00050000       4.12462638E-03   453.07421029     -6.06683651      0.15054880       2.78203075       15.48494316      18.48290305      15.55289841      15.50051633     
  0.00050000       5.22334507E-03   432.43059893     -6.16847779      0.14701360       2.80266924       15.68858243      18.91299013      15.77042410      15.87510671     
  0.00050000       6.61474064E-03   411.66116789     -6.27405270      0.14365686       2.82273277       15.85773880      19.41931921      15.93328973      16.30161316     
  0.00050000       8.37677640E-03   393.77499372     -6.37078787      0.14045523       2.84230856       16.00507537      19.86970489      16.12860841      16.70467585     
  0.00050000       1.06081836E-02   379.31246760     -6.45568163      0.13727613       2.86219518       16.13151315      20.28992913      16.25073924      17.06317464     
  0.00050000       1.34339933E-02   364.18249809     -6.54637816      0.13415288       2.88218484       16.27671024      20.78714290      16.39745411      17.45978568     
  0.00050000       1.70125428E-02   349.05002838     -6.63993273      0.13112490       2.90201453       16.27406331      21.37067475      16.41392453      17.89786855     
  0.00050000       2.15443469E-02   337.66345967     -6.71743585      0.12815521       2.92191271       16.35734661      21.79752828      16.46425947      18.21712996     
  0.00050000       2.72833338E-02   325.27227241     -6.80267550      0.12519530       2.94220902       16.45286371      22.30184553      16.54207930      18.61442685     
  0.00050000       3.45510729E-02   311.77256552     -6.89666051      0.12229826       2.96254454       16.55442640      22.96503659      16.62475162      19.08052278     
  0.00050000       4.37547938E-02   297.91305700     -6.99554565      0.11952786       2.98244622       16.61638453      23.62050219      16.70221780      19.52486267     
  0.00050000       5.54102033E-02   286.11222746     -7.08493534      0.11691885       3.00161579       16.70272864      24.24621041      16.78708157      19.95127290     
  0.00050000       7.01703829E-02   273.68833236     -7.18112303      0.11438277       3.02066353       16.85552988      25.00143599      16.93778273      20.45213178     
  0.00050000       8.88623816E-02   260.46958995     -7.28572100      0.11195755       3.03927774       17.06529115      25.91199166      17.14929658      21.03912435     
  0.00050000       1.12533558E-01   247.94277158     -7.38918389      0.10967923       3.05713631       17.29312763      26.87893078      17.38435146      21.64741637     
  0.00050000       1.42510267E-01   238.74862318     -7.47266532      0.10745056       3.07496689       17.49379761      27.68299417      17.60624192      22.14684524     
  0.00050000       1.80472177E-01   228.62484376     -7.56590485      0.10525295       3.09291639       17.73620413      28.61748790      17.88638283      22.72658099     
  0.00050000       2.28546386E-01   217.41007511     -7.67093518      0.10313445       3.11057735       18.01675090      29.67453072      18.21922067      23.39062808     
  0.00050000       2.89426612E-01   205.44788419     -7.78610106      0.10115094       3.12744459       18.31034186      30.79446454      18.57587572      24.11591118     
