# Mass             Age              Teff             Luminosity       Radius           Gravity          MIRI-F560W       MIRI-F770W       MIRI-F1000W      MIRI-F1130W      MIRI-F1280W      MIRI-F1500W      MIRI-F1800W      MIRI-F2100W      MIRI-F2550W     
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.01300000       1.00000000E-03   2477.39177273    -2.53323067      0.29431798       3.61472696       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       1.26638017E-03   2445.49387671    -2.61822219      0.27389738       3.67718412       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       1.60371874E-03   2414.27783713    -2.70060672      0.25559203       3.73726576       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       2.03091762E-03   2379.34889197    -2.78470030      0.23887268       3.79602744       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       2.57191381E-03   2337.06446688    -2.87318277      0.22361450       3.85336044       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       3.25702066E-03   2290.75050666    -2.96294399      0.20989012       3.90837430       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       4.12462638E-03   2243.84251740    -3.05090711      0.19769068       3.96038640       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       5.22334507E-03   2191.63292345    -3.13988020      0.18704823       4.00845290       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       6.61474064E-03   2120.67284892    -3.23873093      0.17828255       4.05014234       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       8.37677640E-03   2063.31144535    -3.32097566      0.17132315       4.08472552       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       1.06081836E-02   2014.72930494    -3.39063220      0.16583356       4.11301361       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       1.34339933E-02   1969.41688023    -3.45295942      0.16153416       4.13582928       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       1.70125428E-02   1928.39663617    -3.50802144      0.15813087       4.15432468       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       2.15443469E-02   1891.60922124    -3.55733089      0.15527515       4.17015481       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       2.72833338E-02   1859.06648247    -3.60203966      0.15269279       4.18472346       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       3.45510729E-02   1824.62895350    -3.64935911      0.15010662       4.19956190       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01300000       4.37547938E-02   1783.43981227    -3.70504570      0.14736852       4.21555738       10.02577258      9.78351823       9.16546612       9.11440672       9.16890514       9.23944378       9.24740422       9.25333126       9.22638929      
  0.01300000       5.54102033E-02   1730.72207120    -3.77454524      0.14445415       4.23290936       10.14891300      9.90520934       9.25689882       9.19910546       9.25263109       9.32509795       9.33247623       9.33889721       9.31110834      
  0.01300000       7.01703829E-02   1667.18720502    -3.86012499      0.14107027       4.25349960       10.29688271      10.05854928      9.36972548       9.30190268       9.35304521       9.42682100       9.43342046       9.44063705       9.41164658      
  0.01300000       8.88623816E-02   1585.75105847    -3.97305210      0.13691558       4.27945971       10.48794592      10.26611745      9.51970490       9.43531398       9.48130386       9.55544684       9.56067465       9.56881602       9.53809379      
  0.01300000       1.12533558E-01   1464.18692743    -4.14621226      0.13156339       4.31408867       10.78680609      10.59676642      9.75006585       9.63515514       9.67100385       9.74608960       9.74930387       9.75940151       9.72655926      
  0.01300000       1.42510267E-01   1322.72852203    -4.35831580      0.12627920       4.34969528       11.17675674      11.01241221      10.03719831      9.88221759       9.90270972       9.97653244       9.97598131       9.99016006       9.95438012      
  0.01300000       1.80472177E-01   1188.38039816    -4.57808606      0.12147205       4.38340582       11.56924038      11.41936689      10.31310383      10.12221721      10.12815332      10.19747240      10.19416815      10.21413476      10.17597421     
  0.01300000       2.28546386E-01   1062.73931013    -4.80053836      0.11757371       4.41173786       12.00175854      11.83927599      10.60093225      10.37830328      10.36825721      10.42691076      10.41988569      10.44681239      10.40698082     
  0.01300000       2.89426612E-01   955.71994448     -5.00816910      0.11447041       4.43497180       12.40896026      12.22484489      10.86536882      10.61465046      10.59040536      10.63313434      10.62053415      10.65319533      10.61240772     
  0.01300000       3.66524124E-01   856.91022941     -5.21674883      0.11199339       4.45397336       12.85267766      12.63783409      11.14726710      10.86805612      10.82923330      10.84507972      10.82669435      10.86524180      10.82449376     
  0.01300000       4.64158883E-01   769.42717341     -5.41875732      0.11008334       4.46891481       13.29609495      13.04565257      11.43234983      11.12755281      11.07507176      11.05156961      11.02294573      11.06549042      11.02592617     
  0.01300000       5.87801607E-01   698.22664176     -5.59967220      0.10854569       4.48113270       13.71746581      13.42860458      11.70780378      11.37729692      11.31456514      11.24469891      11.20434168      11.24797110      11.21036062     
  0.01300000       7.44380301E-01   642.23940667     -5.75555823      0.10721766       4.49182511       14.11007447      13.78501067      11.97838932      11.61573748      11.54750436      11.42841214      11.37279078      11.41429885      11.37823386     
  0.01300000       9.42668455E-01   587.27254705     -5.92038613      0.10606201       4.50123800       14.54638116      14.16909778      12.30165028      11.89045272      11.81727050      11.64115291      11.55647756      11.58892501      11.55402161     
  0.01300000       1.19377664E+00   540.65427562     -6.07215094      0.10507860       4.50932908       14.95647751      14.52477257      12.61648329      12.15713622      12.07343798      11.84411900      11.72997283      11.74832198      11.71382407     
  0.01300000       1.51177507E+00   507.47280242     -6.18979864      0.10415968       4.51695830       15.29553008      14.80657888      12.88999050      12.39048583      12.29148290      12.01942875      11.87717521      11.87918162      11.84314986     
  0.01300000       1.91448198E+00   471.46187082     -6.32493314      0.10329307       4.52421522       15.66724066      15.11605923      13.18567701      12.65051952      12.53954437      12.21046864      12.03780785      12.01832191      11.97897255     
  0.01300000       2.42446202E+00   437.82010941     -6.46020331      0.10250229       4.53089047       16.11017565      15.49422652      13.57506304      12.97376099      12.83580783      12.45182266      12.24114282      12.18744190      12.14223933     
  0.01300000       3.07029063E+00   408.09202397     -6.58859782      0.10176832       4.53713235       16.52266904      15.83396310      13.95023879      13.28977275      13.12106210      12.67862167      12.43355117      12.34328656      12.28898099     
  0.01300000       3.88815518E+00   383.84451555     -6.70090328      0.10107833       4.54304144       16.87418368      16.12023221      14.29061549      13.57533343      13.37683438      12.88068732      12.60180508      12.47707254      12.41331969     
  0.01300000       4.92388263E+00   360.99809738     -6.81331099      0.10040651       4.54883380       17.26309693      16.44987525      14.68959082      13.91537742      13.66448195      13.10721071      12.79393971      12.62822200      12.55309635     
  0.01300000       6.23550734E+00   342.37395537     -6.91096893      0.09975519       4.55448656       17.61115256      16.72785889      15.05439827      14.20449990      13.91016525      13.30477615      12.96492788      12.76184933      12.67582298     
  0.01300000       7.89652287E+00   326.80845338     -6.99763442      0.09908872       4.56030917       17.91949981      16.96505301      15.37117508      14.47240843      14.11747511      13.47535408      13.11142554      12.87814993      12.78382284     
  0.01300000       1.00000000E+01   309.99793469     -7.09529438      0.09841548       4.56623079       18.24954519      17.24235692      15.79219477      14.80212718      14.36920493      13.67066578      13.27879388      13.01182834      12.90752772     
