# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F322W2    NIRCAM-F164N     NIRCAM-F090W     NIRCAM-F277W     NIRCAM-F162M     NIRCAM-F115W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F444W     NIRCAM-F250M     NIRCAM-F430M     NIRCAM-F323N     NIRCAM-F212N     NIRCAM-F466N     NIRCAM-F460M     NIRCAM-F200W     NIRCAM-F070W     NIRCAM-F182M     NIRCAM-F360M     NIRCAM-F405N     NIRCAM-F335M     NIRCAM-F140M     NIRCAM-F150W     NIRCAM-F187N     NIRCAM-F480M     NIRCAM-F210M     NIRCAM-F470N     NIRCAM-F356W     NIRCAM-F150W2   
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00800000       1.00000000E-03   2208.65372915    -2.89993239      0.24277277       3.57110446       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00800000       1.26638017E-03   2157.95948515    -2.99610494      0.22766185       3.62692596       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00800000       1.60371874E-03   2099.53684540    -3.09697037      0.21414240       3.68009977       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00800000       2.03091762E-03   2038.67112883    -3.19859804      0.20204111       3.73062711       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00800000       2.57191381E-03   1970.35294067    -3.30565999      0.19120756       3.77849483       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00800000       3.25702066E-03   1895.29306865    -3.41780850      0.18162029       3.82317792       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00800000       4.12462638E-03   1824.00065530    -3.52644199      0.17304375       3.86519418       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00800000       5.22334507E-03   1734.04239672    -3.65325261      0.16545648       3.90413887       10.32193704      10.59724422      14.04181534      11.22820579      10.81040950      12.04777615      9.43342586       10.95160739      9.79223394       11.24373152      9.95635550       10.32158348      10.57839633      10.19647037      10.33703672      11.11289251      17.74021742      11.43636152      9.59507638       9.30467626       10.11305861      12.54626965      11.65135763      11.79949304      10.19564738      10.76177709      10.23105915      9.72544994       11.48512927     
  0.00800000       6.61474064E-03   1646.78132483    -3.77813369      0.15888800       3.93932400       10.61047844      10.85592619      14.38045301      11.55942905      11.07584314      12.36834165      9.66639212       11.25352463      10.04778712      11.60114827      10.25469596      10.68274215      10.86168567      10.49414498      10.64676215      11.43897890      18.35957782      11.78568687      9.86604329       9.53427628       10.48973708      12.94231322      11.94811621      12.18002947      10.48299377      11.06010451      10.53340600      10.00103317      11.80079824     
  0.00800000       8.37677640E-03   1566.89355529    -3.89693501      0.15306905       3.97173135       10.91094903      11.11414214      14.68542594      11.86310244      11.33640523      12.66325661      9.89378457       11.54032133      10.28844420      11.93913242      10.52797723      11.11160842      11.14539365      10.76403320      10.92627550      11.75544929      19.06245069      12.11301566      10.17472488      9.76467310       10.93427006      13.30219351      12.22463285      12.52765080      10.74150589      11.35594958      10.80784502      10.30307767      12.10316307     
  0.00800000       1.06081836E-02   1488.69339102    -4.01627255      0.14780572       4.00212355       11.24424928      11.38626427      14.97636452      12.16911917      11.60619800      12.93484301      10.13081703      11.83600995      10.53277067      12.28949983      10.79630344      11.63342772      11.44375228      11.02731216      11.19908033      12.08237616      19.84372025      12.43901682      10.54671121      10.00560079      11.46297981      13.64659421      12.49799630      12.86810150      10.99328558      11.66577794      11.07672758      10.64788124      12.40641119     
  0.00800000       1.34339933E-02   1384.15498115    -4.16948443      0.14332518       4.02886038       11.71704744      11.78913845      15.36811117      12.59688337      11.99541674      13.25120267      10.46406927      12.24083154      10.86671582      12.79361865      11.16156235      12.37943413      11.86166026      11.36561549      11.55510907      12.54135068      20.89995273      12.89599058      11.10100756      10.33636632      12.19363209      14.12388366      12.87918715      13.34322886      11.31552099      12.09938640      11.42533002      11.14071328      12.81420781     
  0.00800000       1.70125428E-02   1307.18261554    -4.29311616      0.13938014       4.05310305       12.11637579      12.19060754      15.69604887      12.95349033      12.36744922      13.50156569      10.75932026      12.57146498      11.15236930      13.22713872      11.44857225      12.95733957      12.22584440      11.63683746      11.84330105      12.93515357      21.69033944      13.29746513      11.56697349      10.61724900      12.74573445      14.53484804      13.22795179      13.74135985      11.57690374      12.47227359      11.70954748      11.55870334      13.16253278     
  0.00800000       2.15443469E-02   1228.37734675    -4.42334992      0.13586150       4.07531254       12.50711566      12.65683813      16.05538605      13.30387637      12.78448427      13.74910566      11.05755169      12.89065416      11.43257619      13.66232603      11.71381442      13.49477684      12.57994784      11.88856884      12.11363351      13.31674230      22.33423449      13.71272509      12.00457488      10.89051802      13.25245911      14.94469208      13.60149489      14.13150858      11.81915228      12.82996678      11.97605608      11.96807261      13.51333479     
  0.00800000       2.72833338E-02   1154.04251823    -4.55205995      0.13272780       4.09558087       12.88391201      13.18325689      16.44105851      13.66757212      13.23200525      14.00342308      11.35045910      13.21390905      11.71386927      14.11409955      11.98366541      14.00121308      12.94211097      12.15897830      12.40706350      13.70661621      22.97944968      14.15302174      12.40888651      11.15679201      13.73531004      15.37879162      13.99944715      14.54522747      12.07789313      13.19267196      12.26623840      12.35254745      13.87236015     
  0.00800000       3.45510729E-02   1082.75455905    -4.68144461      0.12991266       4.11420214       13.24552873      13.76015104      16.85024647      14.04225802      13.69359866      14.28138514      11.63305816      13.54161979      11.98739537      14.57815005      12.25027887      14.48676315      13.30329728      12.42807415      12.70234454      14.09711059      23.57727149      14.61299859      12.78246758      11.41456112      14.19629848      15.83913682      14.41340470      14.97895835      12.33460083      13.55177919      12.55912444      12.71187989      14.23856129     
  0.00800000       4.37547938E-02   1015.42501984    -4.81016581      0.12736801       4.13138415       13.58804554      14.33301648      17.24601473      14.39507471      14.12286081      14.57093546      11.89488082      13.85277386      12.23634306      15.02216304      12.48887083      14.99252151      13.63427068      12.66395200      12.96362786      14.45591846      24.06129501      15.05071294      13.13895499      11.65548904      14.65273111      16.27625141      14.79855955      15.38416424      12.55883892      13.87885056      12.81952019      13.05398360      14.58809153     
  0.00800000       5.54102033E-02   952.77013792     -4.93657384      0.12507247       4.14718093       13.93639569      14.91869738      17.64624695      14.78812586      14.53760086      14.87756010      12.16023478      14.19608607      12.49382043      15.51361773      12.74877521      15.51242603      13.99721745      12.92364514      13.25320688      14.84721871      24.56495224      15.53443227      13.50105286      11.89886878      15.13158167      16.75334243      15.18431093      15.84542066      12.80160356      14.23510406      13.11086389      13.39053398      14.95165930     
  0.00800000       7.01703829E-02   890.93450889     -5.06774299      0.12298846       4.16177597       14.29956747      15.52102872      18.06024741      15.20518380      14.94842990      15.20692976      12.43449966      14.55940583      12.75752013      16.03727310      13.01216390      16.04260433      14.38539571      13.18781661      13.55060388      15.26383296      25.08107062      16.05733077      13.87810106      12.15130600      15.62920683      17.26264505      15.57447727      16.34695928      13.04762517      14.61489323      13.41111457      13.73993210      15.33330359     
  0.00800000       8.88623816E-02   827.72591297     -5.20888216      0.12112245       4.17505552       14.67537333      16.13943424      18.50792675      15.64428956      15.35417602      15.57664820      12.72238734      14.94341583      13.02668276      16.58510192      13.27507974      16.59557832      14.81514655      13.44589820      13.84399905      15.72278082      25.58745751      16.63640109      14.25811837      12.41605693      16.12850231      17.81747015      15.97317058      16.90839102      13.28744339      15.03697738      13.70820991      14.10082479      15.74534368     
  0.00800000       1.12533558E-01   769.71046964     -5.34706149      0.11946732       4.18700653       15.04189733      16.77940991      18.96324960      16.07951800      15.75213338      15.95105581      12.99716531      15.32817722      13.27544977      17.13186168      13.50372498      17.15865902      15.27454438      13.67644154      14.10256382      16.20666282      26.05404356      17.24292564      14.63100971      12.68205368      16.62918706      18.38450627      16.37014152      17.49322695      13.50173519      15.48756720      13.97737776      14.45315821      16.16153340     
  0.00800000       1.42510267E-01   715.91291586     -5.48384040      0.11797551       4.19792053       15.40982065      17.44718175      19.43994027      16.53174288      16.14659272      16.33220176      13.26824581      15.73229183      13.50849866      17.69681110      13.69746440      17.75610862      15.77035933      13.86060494      14.31176109      16.72450620      26.48604369      17.89372183      15.00637862      12.95036589      17.14983076      18.98153181      16.77430428      18.12466616      13.68793779      15.97453203      14.19651278      14.80363325      16.58763271     
  0.00800000       1.80472177E-01   668.09366829     -5.61391074      0.11662861       4.20789433       15.77117364      18.13240678      19.93256505      16.97764679      16.53974963      16.71503774      13.53069880      16.13599821      13.72367342      18.25094457      13.85983406      18.35685332      16.28359393      14.00459844      14.46990604      17.25454441      26.86960231      18.55463133      15.37663894      13.21918026      17.66418488      19.58913332      17.18338305      18.76225274      13.84674154      16.47833424      14.36315037      15.14915644      17.01487594     
  0.00800000       2.28546386E-01   623.35871217     -5.74358249      0.11539100       4.21716071       16.14609320      18.85565702      20.47550246      17.45423563      16.96384000      17.12917321      13.78998794      16.57283149      13.92008477      18.84275765      13.99386601      19.01264243      16.86612605      14.11574113      14.57250672      17.85250637      27.23695571      19.27636416      15.76491291      13.50333643      18.20750652      20.24252249      17.62873680      19.46514866      13.97744579      17.05405201      14.47774358      15.50760010      17.47593607     
  0.00800000       2.89426612E-01   581.94064289     -5.87162349      0.11425364       4.22576437       16.51633798      19.56870780      21.02724492      17.94558739      17.40542667      17.56065647      14.03689126      17.02832779      14.09380797      19.45118573      14.11623644      19.70644070      17.49825688      14.18874763      14.62543797      18.49969951      27.55880911      20.02600951      16.15319365      13.79038443      18.75834843      20.90389086      18.09369187      20.21213214      14.08101672      17.68387932      14.53969116      15.86114145      17.95365997     
  0.00800000       3.66524124E-01   543.68009319     -5.99785686      0.11319289       4.23386611       16.90165248      20.31786335      21.59685943      18.46017916      17.87067922      18.01288878      14.30462341      17.51074630      14.28572036      20.08954340      14.26155173      20.43641479      18.18045293      14.27389819      14.68809584      19.19381507      27.87819618      20.81703835      16.56110584      14.09287071      19.32417386      21.59873052      18.58491744      21.00820726      14.20311052      18.36361457      14.61423535      16.23050588      18.45318360     
  0.00800000       4.64158883E-01   510.18835374     -6.11601858      0.11219220       4.24157904       17.26765366      21.04120710      22.13120818      18.96710415      18.34169943      18.48269107      14.54593539      17.99264473      14.44984992      20.70825081      14.38268567      21.14410005      18.87561085      14.33209159      14.70636933      19.89924928      28.08509115      21.59328603      16.95441804      14.36910622      19.85710050      22.27902112      19.08043314      21.79463534      14.30072541      19.05943017      14.64718596      16.58336068      18.95935588     
  0.00800000       5.87801607E-01   477.95859515     -6.23669043      0.11125183       4.24889003       17.63649519      21.77662286      22.72600949      19.49150456      18.85918572      19.03621497      14.76692642      18.49591738      14.58908341      21.33412558      14.50545919      21.86525024      19.61337050      14.37490001      14.68891200      20.65697483      28.35106942      22.43179262      17.35944766      14.65453388      20.38834894      23.01909330      19.62469792      22.62126356      14.37833931      19.80483258      14.61486093      16.94025567      19.53580451     
  0.00800000       7.44380301E-01   447.14174722     -6.35936266      0.11037205       4.25578611       18.04117981      22.60450373      23.24350627      20.08562782      19.41820926      19.63126945      15.05047355      19.06927139      14.80407732      22.05250076      14.70172772      22.73004310      20.49383953      14.51345751      14.79546315      21.53272016      28.59211534      23.31082440      17.79912392      14.98065363      20.98481064      23.79686175      20.21065446      23.55925871      14.56134667      20.68113685      14.74546298      17.33344195      20.15007215     
  0.00800000       9.42668455E-01   420.13260148     -6.47419354      0.10953386       4.26240748       18.46446383      23.47491779      23.75842623      20.71488555      20.03217529      20.32152114      15.33999469      19.68214239      14.99713474      22.78100066      14.91340081      23.59790389      21.41734621      14.61250935      14.83445283      22.46391521      28.88898903      24.25956945      18.26371033      15.32657660      21.58390994      24.64550976      20.85214503      24.54506902      14.69356906      21.60906716      14.79910064      17.74635221      20.84314626     
  0.00800000       1.19377664E+00   394.42610589     -6.59023966      0.10873706       4.26874906       18.88621359      24.35730548      24.23697058      21.35963262      20.62993829      21.00506244      15.58128967      20.31118508      15.19670728      23.54709256      15.07409026      24.54666348      22.40572905      14.79743093      14.97135361      23.44059734      29.03824062      25.22010081      18.74417306      15.65109717      22.21351869      25.48612649      21.47436258      25.57841611      14.92120226      22.58668497      14.97267896      18.16253146      21.52215887     
  0.00800000       1.51177507E+00   372.48844836     -6.69585245      0.10796246       4.27495870       19.30315678      25.24749068      24.71702451      22.06034281      21.31674594      21.79727681      15.88323218      21.00411885      15.40845252      24.23489608      15.32255298      25.35138957      23.33946459      14.93051571      15.06264962      24.39856401      29.38759298      26.15340939      19.19274489      16.00383523      22.75958980      26.39185451      22.18600347      26.55972700      15.08190361      23.54354955      15.05943989      18.57129188      22.29746408     
  0.00800000       1.91448198E+00   350.14797977     -6.80937044      0.10721223       4.28101557       19.74718294      26.20746242      25.15841504      22.78572688      21.98283231      22.59150615      16.14362969      21.72047438      15.61177267      25.00560785      15.50910481      26.31638541      24.41250008      15.12729823      15.20806008      25.45637633      29.49140287      27.15930979      19.69913990      16.34897574      23.40021292      27.31621050      22.86794379      27.66420722      15.30552355      24.60511496      15.23330128      19.01381436      23.06302340     
  0.00800000       2.42446202E+00   336.54837376     -6.88431439      0.10645823       4.28714572       20.07261916      26.91785591      25.50180763      23.32453796      22.49104161      23.22337368      16.35434690      22.25493842      15.78065786      25.53913122      15.66621764      26.95119669      25.20962472      15.29400489      15.34763325      26.24032408      29.66124238      27.88794962      20.06573685      16.62738614      23.84372014      28.01204636      23.38415466      28.47803016      15.48910559      25.39366012      15.38805818      19.33891491      23.65702279     
  0.00800000       3.07029063E+00   321.52999307     -6.97001598      0.10567463       4.29356279       20.42506993      27.68826129      25.85239723      23.93772937      23.06827040      23.95767774      16.55017830      22.86962068      15.93487669      26.05975933      15.79846390      27.54015891      26.03814342      15.45154610      15.46522519      27.07661634      29.71347265      28.65430779      20.45118201      16.92380773      24.27908960      28.79013965      23.96842029      29.33063806      15.67597192      26.22799884      15.53652676      19.69127755      24.33714493     
  0.00800000       3.88815518E+00   305.22461814     -7.06696810      0.10488294       4.30009455       20.83718398      28.60116179      26.20857203      24.61467606      23.68977208      24.74788919      16.84262801      23.55046781      16.17316337      26.68656461      16.04070476      28.31171838      27.09869568      15.66776767      15.66294252      28.08154269      29.88858030      29.55289084      20.92524986      17.27055386      24.86374427      29.65464349      24.59424272      30.39312028      15.92036960      27.25586898      15.75322878      20.10679961      25.05897964     
